# robin saxs scatter average SAXS profile
# topology: pnt_STARLING.pdb
# trajectory: pnt_STARLING.xtc
# frames used: 600
# selection: not element H
# c1=1.0  c2=2.0
# q (Å⁻¹)          I(q)                σ(I)
  2.5000000000e-01   8.8505275586e+03   3.5417843940e+01
  2.5500000000e-01   8.6187321549e+03   3.3985205653e+01
  2.6000000000e-01   8.3981220964e+03   3.2622455402e+01
  2.6500000000e-01   8.1893053060e+03   3.1430528232e+01
  2.7000000000e-01   7.9936451237e+03   3.0470578984e+01
  2.7500000000e-01   7.8122835221e+03   2.9726646481e+01
  2.8000000000e-01   7.6449226172e+03   2.9145594799e+01
  2.8500000000e-01   7.4894377865e+03   2.8650481347e+01
  2.9000000000e-01   7.3425640951e+03   2.8164848749e+01
  2.9500000000e-01   7.2009294206e+03   2.7641806252e+01
  3.0000000000e-01   7.0622044857e+03   2.7054387803e+01
  3.0500000000e-01   6.9258139648e+03   2.6389696712e+01
  3.1000000000e-01   6.7927822461e+03   2.5646303424e+01
  3.1500000000e-01   6.6648115234e+03   2.4827748958e+01
  3.2000000000e-01   6.5430116016e+03   2.3965734754e+01
  3.2500000000e-01   6.4270818164e+03   2.3135995781e+01
  3.3000000000e-01   6.3156056608e+03   2.2406203605e+01
  3.3500000000e-01   6.2071603255e+03   2.1774159786e+01
  3.4000000000e-01   6.1013271647e+03   2.1201486896e+01
  3.4500000000e-01   5.9986835319e+03   2.0683045712e+01
  3.5000000000e-01   5.9000514095e+03   2.0241870917e+01
  3.5500000000e-01   5.8058997949e+03   1.9869484166e+01
  3.6000000000e-01   5.7164342025e+03   1.9515982850e+01
  3.6500000000e-01   5.6315586328e+03   1.9147023323e+01
  3.7000000000e-01   5.5506457845e+03   1.8763245431e+01
  3.7500000000e-01   5.4725037760e+03   1.8381660660e+01
  3.8000000000e-01   5.3960201693e+03   1.8027391037e+01
  3.8500000000e-01   5.3208578092e+03   1.7711839404e+01
  3.9000000000e-01   5.2476894629e+03   1.7417449091e+01
  3.9500000000e-01   5.1775825228e+03   1.7127553609e+01
  4.0000000000e-01   5.1111975033e+03   1.6838868395e+01
  4.0500000000e-01   5.0482183952e+03   1.6538286221e+01
  4.1000000000e-01   4.9877323698e+03   1.6203124429e+01
  4.1500000000e-01   4.9290284245e+03   1.5828277297e+01
  4.2000000000e-01   4.8720957975e+03   1.5440910081e+01
  4.2500000000e-01   4.8173233919e+03   1.5087187393e+01
  4.3000000000e-01   4.7649542806e+03   1.4798008693e+01
  4.3500000000e-01   4.7146236230e+03   1.4568820917e+01
  4.4000000000e-01   4.6654750260e+03   1.4370919426e+01
  4.4500000000e-01   4.6167850944e+03   1.4177895410e+01
  4.5000000000e-01   4.5684167383e+03   1.3987332202e+01
  4.5500000000e-01   4.5208803646e+03   1.3812432681e+01
  4.6000000000e-01   4.4747583854e+03   1.3659177019e+01
  4.6500000000e-01   4.4302339258e+03   1.3516419801e+01
  4.7000000000e-01   4.3869583496e+03   1.3357668079e+01
  4.7500000000e-01   4.3444802051e+03   1.3164277900e+01
  4.8000000000e-01   4.3026324316e+03   1.2948440697e+01
  4.8500000000e-01   4.2616695378e+03   1.2740597563e+01
  4.9000000000e-01   4.2220100879e+03   1.2561843800e+01
  4.9500000000e-01   4.1838097917e+03   1.2413465301e+01
  5.0000000000e-01   4.1467765299e+03   1.2288311637e+01
