# robin saxs scatter per-frame SAXS profile
# topology: pnt_STARLING.pdb
# trajectory: pnt_STARLING.xtc
# frame: 311 (original trajectory frame 311)
# selection: not element H
# c1=1.0  c2=2.0
# q (Å⁻¹)          I(q)
  5.0000000000e-03   6.5157000000e+05
  1.0000000000e-02   6.0910600000e+05
  1.5000000000e-02   5.4561250000e+05
  2.0000000000e-02   4.6998275000e+05
  2.5000000000e-02   3.9138375000e+05
  3.0000000000e-02   3.1736150000e+05
  3.5000000000e-02   2.5273437500e+05
  4.0000000000e-02   1.9946525000e+05
  4.5000000000e-02   1.5730012500e+05
  5.0000000000e-02   1.2474956250e+05
  5.5000000000e-02   9.9985500000e+04
  6.0000000000e-02   8.1389062500e+04
  6.5000000000e-02   6.7709843750e+04
  7.0000000000e-02   5.7966687500e+04
  7.5000000000e-02   5.1289531250e+04
  8.0000000000e-02   4.6833375000e+04
  8.5000000000e-02   4.3800625000e+04
  9.0000000000e-02   4.1524343750e+04
  9.5000000000e-02   3.9535218750e+04
  1.0000000000e-01   3.7572609375e+04
  1.0500000000e-01   3.5538906250e+04
  1.1000000000e-01   3.3431562500e+04
  1.1500000000e-01   3.1288296875e+04
  1.2000000000e-01   2.9157703125e+04
  1.2500000000e-01   2.7090046875e+04
  1.3000000000e-01   2.5131609375e+04
  1.3500000000e-01   2.3315015625e+04
  1.4000000000e-01   2.1647859375e+04
  1.4500000000e-01   2.0110890625e+04
  1.5000000000e-01   1.8670203125e+04
  1.5500000000e-01   1.7297578125e+04
  1.6000000000e-01   1.5987750000e+04
  1.6500000000e-01   1.4762578125e+04
  1.7000000000e-01   1.3659390625e+04
  1.7500000000e-01   1.2711632812e+04
  1.8000000000e-01   1.1933882812e+04
  1.8500000000e-01   1.1317500000e+04
  1.9000000000e-01   1.0837968750e+04
  1.9500000000e-01   1.0467109375e+04
  2.0000000000e-01   1.0182765625e+04
  2.0500000000e-01   9.9717421875e+03
  2.1000000000e-01   9.8271953125e+03
  2.1500000000e-01   9.7445937500e+03
  2.2000000000e-01   9.7181796875e+03
  2.2500000000e-01   9.7403125000e+03
  2.3000000000e-01   9.8013671875e+03
  2.3500000000e-01   9.8887500000e+03
  2.4000000000e-01   9.9850625000e+03
  2.4500000000e-01   1.0066437500e+04
  2.5000000000e-01   1.0103679688e+04
  2.5500000000e-01   1.0066375000e+04
  2.6000000000e-01   9.9298515625e+03
  2.6500000000e-01   9.6828515625e+03
  2.7000000000e-01   9.3327617188e+03
  2.7500000000e-01   8.9067890625e+03
  2.8000000000e-01   8.4473203125e+03
  2.8500000000e-01   8.0028398438e+03
  2.9000000000e-01   7.6157851562e+03
  2.9500000000e-01   7.3115937500e+03
  3.0000000000e-01   7.0925156250e+03
  3.0500000000e-01   6.9389453125e+03
  3.1000000000e-01   6.8180781250e+03
  3.1500000000e-01   6.6971171875e+03
  3.2000000000e-01   6.5551054688e+03
  3.2500000000e-01   6.3889843750e+03
  3.3000000000e-01   6.2113515625e+03
  3.3500000000e-01   6.0416406250e+03
  3.4000000000e-01   5.8956679688e+03
  3.4500000000e-01   5.7786406250e+03
  3.5000000000e-01   5.6849492188e+03
  3.5500000000e-01   5.6038203125e+03
  3.6000000000e-01   5.5268476562e+03
  3.6500000000e-01   5.4533593750e+03
  3.7000000000e-01   5.3902851562e+03
  3.7500000000e-01   5.3471835938e+03
  3.8000000000e-01   5.3294570312e+03
  3.8500000000e-01   5.3336953125e+03
  3.9000000000e-01   5.3473476562e+03
  3.9500000000e-01   5.3531523438e+03
  4.0000000000e-01   5.3358476562e+03
  4.0500000000e-01   5.2878906250e+03
  4.1000000000e-01   5.2118007812e+03
  4.1500000000e-01   5.1186796875e+03
  4.2000000000e-01   5.0237070312e+03
  4.2500000000e-01   4.9409414062e+03
  4.3000000000e-01   4.8794882812e+03
  4.3500000000e-01   4.8415429688e+03
  4.4000000000e-01   4.8229960938e+03
  4.4500000000e-01   4.8154218750e+03
  4.5000000000e-01   4.8086523438e+03
  4.5500000000e-01   4.7932500000e+03
  4.6000000000e-01   4.7622460938e+03
  4.6500000000e-01   4.7124609375e+03
  4.7000000000e-01   4.6445429688e+03
  4.7500000000e-01   4.5625234375e+03
  4.8000000000e-01   4.4722695312e+03
  4.8500000000e-01   4.3798671875e+03
  4.9000000000e-01   4.2899707031e+03
  4.9500000000e-01   4.2049589844e+03
  5.0000000000e-01   4.1250527344e+03
