# robin saxs scatter per-frame SAXS profile
# topology: pnt_STARLING.pdb
# trajectory: pnt_STARLING.xtc
# frame: 238 (original trajectory frame 238)
# selection: not element H
# c1=1.0  c2=2.0
# q (Å⁻¹)          I(q)
  5.0000000000e-03   7.0139000000e+05
  1.0000000000e-02   6.6062500000e+05
  1.5000000000e-02   5.9862275000e+05
  2.0000000000e-02   5.2299700000e+05
  2.5000000000e-02   4.4220625000e+05
  3.0000000000e-02   3.6400575000e+05
  3.5000000000e-02   2.9426287500e+05
  4.0000000000e-02   2.3630137500e+05
  4.5000000000e-02   1.9089800000e+05
  5.0000000000e-02   1.5680587500e+05
  5.5000000000e-02   1.3159112500e+05
  6.0000000000e-02   1.1250812500e+05
  6.5000000000e-02   9.7198187500e+04
  7.0000000000e-02   8.4068687500e+04
  7.5000000000e-02   7.2350750000e+04
  8.0000000000e-02   6.1907000000e+04
  8.5000000000e-02   5.2923062500e+04
  9.0000000000e-02   4.5613437500e+04
  9.5000000000e-02   4.0030375000e+04
  1.0000000000e-01   3.6001453125e+04
  1.0500000000e-01   3.3178531250e+04
  1.1000000000e-01   3.1142656250e+04
  1.1500000000e-01   2.9512375000e+04
  1.2000000000e-01   2.8013265625e+04
  1.2500000000e-01   2.6498687500e+04
  1.3000000000e-01   2.4929562500e+04
  1.3500000000e-01   2.3331484375e+04
  1.4000000000e-01   2.1754843750e+04
  1.4500000000e-01   2.0245718750e+04
  1.5000000000e-01   1.8835148438e+04
  1.5500000000e-01   1.7539695312e+04
  1.6000000000e-01   1.6367820312e+04
  1.6500000000e-01   1.5324382812e+04
  1.7000000000e-01   1.4412585938e+04
  1.7500000000e-01   1.3632218750e+04
  1.8000000000e-01   1.2976742188e+04
  1.8500000000e-01   1.2432187500e+04
  1.9000000000e-01   1.1977296875e+04
  1.9500000000e-01   1.1586500000e+04
  2.0000000000e-01   1.1233601562e+04
  2.0500000000e-01   1.0896171875e+04
  2.1000000000e-01   1.0558500000e+04
  2.1500000000e-01   1.0213609375e+04
  2.2000000000e-01   9.8627031250e+03
  2.2500000000e-01   9.5127343750e+03
  2.3000000000e-01   9.1727812500e+03
  2.3500000000e-01   8.8505039062e+03
  2.4000000000e-01   8.5496640625e+03
  2.4500000000e-01   8.2707734375e+03
  2.5000000000e-01   8.0135625000e+03
  2.5500000000e-01   7.7806328125e+03
  2.6000000000e-01   7.5799062500e+03
  2.6500000000e-01   7.4241679688e+03
  2.7000000000e-01   7.3270078125e+03
  2.7500000000e-01   7.2965156250e+03
  2.8000000000e-01   7.3295195312e+03
  2.8500000000e-01   7.4089687500e+03
  2.9000000000e-01   7.5068046875e+03
  2.9500000000e-01   7.5906718750e+03
  3.0000000000e-01   7.6333125000e+03
  3.0500000000e-01   7.6195117188e+03
  3.1000000000e-01   7.5488476562e+03
  3.1500000000e-01   7.4323789062e+03
  3.2000000000e-01   7.2855039062e+03
  3.2500000000e-01   7.1201796875e+03
  3.3000000000e-01   6.9403437500e+03
  3.3500000000e-01   6.7425468750e+03
  3.4000000000e-01   6.5211562500e+03
  3.4500000000e-01   6.2757656250e+03
  3.5000000000e-01   6.0162187500e+03
  3.5500000000e-01   5.7632851562e+03
  3.6000000000e-01   5.5433671875e+03
  3.6500000000e-01   5.3800351562e+03
  3.7000000000e-01   5.2854179688e+03
  3.7500000000e-01   5.2556093750e+03
  3.8000000000e-01   5.2718320312e+03
  3.8500000000e-01   5.3067382812e+03
  3.9000000000e-01   5.3333906250e+03
  3.9500000000e-01   5.3330078125e+03
  4.0000000000e-01   5.2988125000e+03
  4.0500000000e-01   5.2349843750e+03
  4.1000000000e-01   5.1519375000e+03
  4.1500000000e-01   5.0606171875e+03
  4.2000000000e-01   4.9686250000e+03
  4.2500000000e-01   4.8792578125e+03
  4.3000000000e-01   4.7936269531e+03
  4.3500000000e-01   4.7136035156e+03
  4.4000000000e-01   4.6438515625e+03
  4.4500000000e-01   4.5915585938e+03
  4.5000000000e-01   4.5633281250e+03
  4.5500000000e-01   4.5614824219e+03
  4.6000000000e-01   4.5809570312e+03
  4.6500000000e-01   4.6091464844e+03
  4.7000000000e-01   4.6287675781e+03
  4.7500000000e-01   4.6230371094e+03
  4.8000000000e-01   4.5811015625e+03
  4.8500000000e-01   4.5016640625e+03
  4.9000000000e-01   4.3935664062e+03
  4.9500000000e-01   4.2729472656e+03
  5.0000000000e-01   4.1584863281e+03
