# robin saxs scatter per-frame SAXS profile
# topology: pnt_STARLING.pdb
# trajectory: pnt_STARLING.xtc
# frame: 450 (original trajectory frame 450)
# selection: not element H
# c1=1.0  c2=2.0
# q (Å⁻¹)          I(q)
  5.0000000000e-03   7.1084400000e+05
  1.0000000000e-02   6.1631025000e+05
  1.5000000000e-02   4.9179350000e+05
  2.0000000000e-02   3.6972900000e+05
  2.5000000000e-02   2.7230637500e+05
  3.0000000000e-02   2.0587550000e+05
  3.5000000000e-02   1.6453587500e+05
  4.0000000000e-02   1.3825543750e+05
  4.5000000000e-02   1.1941406250e+05
  5.0000000000e-02   1.0462706250e+05
  5.5000000000e-02   9.2969562500e+04
  6.0000000000e-02   8.3733000000e+04
  6.5000000000e-02   7.5785218750e+04
  7.0000000000e-02   6.8278875000e+04
  7.5000000000e-02   6.1269593750e+04
  8.0000000000e-02   5.5377062500e+04
  8.5000000000e-02   5.0933562500e+04
  9.0000000000e-02   4.7559718750e+04
  9.5000000000e-02   4.4541406250e+04
  1.0000000000e-01   4.1491531250e+04
  1.0500000000e-01   3.8589125000e+04
  1.1000000000e-01   3.6215562500e+04
  1.1500000000e-01   3.4444859375e+04
  1.2000000000e-01   3.2910734375e+04
  1.2500000000e-01   3.1137562500e+04
  1.3000000000e-01   2.8960484375e+04
  1.3500000000e-01   2.6641062500e+04
  1.4000000000e-01   2.4615500000e+04
  1.4500000000e-01   2.3143671875e+04
  1.5000000000e-01   2.2149203125e+04
  1.5500000000e-01   2.1329984375e+04
  1.6000000000e-01   2.0393171875e+04
  1.6500000000e-01   1.9224406250e+04
  1.7000000000e-01   1.7907437500e+04
  1.7500000000e-01   1.6625203125e+04
  1.8000000000e-01   1.5535382812e+04
  1.8500000000e-01   1.4691687500e+04
  1.9000000000e-01   1.4038179688e+04
  1.9500000000e-01   1.3465078125e+04
  2.0000000000e-01   1.2884601562e+04
  2.0500000000e-01   1.2282617188e+04
  2.1000000000e-01   1.1718343750e+04
  2.1500000000e-01   1.1279703125e+04
  2.2000000000e-01   1.1024273438e+04
  2.2500000000e-01   1.0938820312e+04
  2.3000000000e-01   1.0934781250e+04
  2.3500000000e-01   1.0883781250e+04
  2.4000000000e-01   1.0678390625e+04
  2.4500000000e-01   1.0291171875e+04
  2.5000000000e-01   9.7942109375e+03
  2.5500000000e-01   9.3172734375e+03
  2.6000000000e-01   8.9648984375e+03
  2.6500000000e-01   8.7485742188e+03
  2.7000000000e-01   8.5877226562e+03
  2.7500000000e-01   8.3796015625e+03
  2.8000000000e-01   8.0814843750e+03
  2.8500000000e-01   7.7383632812e+03
  2.9000000000e-01   7.4379765625e+03
  2.9500000000e-01   7.2376914062e+03
  3.0000000000e-01   7.1255000000e+03
  3.0500000000e-01   7.0397968750e+03
  3.1000000000e-01   6.9214140625e+03
  3.1500000000e-01   6.7506406250e+03
  3.2000000000e-01   6.5469023438e+03
  3.2500000000e-01   6.3437656250e+03
  3.3000000000e-01   6.1664492188e+03
  3.3500000000e-01   6.0248320312e+03
  3.4000000000e-01   5.9182500000e+03
  3.4500000000e-01   5.8418593750e+03
  3.5000000000e-01   5.7902578125e+03
  3.5500000000e-01   5.7591367188e+03
  3.6000000000e-01   5.7445273438e+03
  3.6500000000e-01   5.7391171875e+03
  3.7000000000e-01   5.7287265625e+03
  3.7500000000e-01   5.6943593750e+03
  3.8000000000e-01   5.6219296875e+03
  3.8500000000e-01   5.5126210938e+03
  3.9000000000e-01   5.3847656250e+03
  3.9500000000e-01   5.2640000000e+03
  4.0000000000e-01   5.1699882812e+03
  4.0500000000e-01   5.1093476562e+03
  4.1000000000e-01   5.0780234375e+03
  4.1500000000e-01   5.0673554688e+03
  4.2000000000e-01   5.0678515625e+03
  4.2500000000e-01   5.0693007812e+03
  4.3000000000e-01   5.0607617188e+03
  4.3500000000e-01   5.0325058594e+03
  4.4000000000e-01   4.9788808594e+03
  4.4500000000e-01   4.9003164062e+03
  4.5000000000e-01   4.8041132812e+03
  4.5500000000e-01   4.7045527344e+03
  4.6000000000e-01   4.6200273438e+03
  4.6500000000e-01   4.5655195312e+03
  4.7000000000e-01   4.5433906250e+03
  4.7500000000e-01   4.5405195312e+03
  4.8000000000e-01   4.5365820312e+03
  4.8500000000e-01   4.5187343750e+03
  4.9000000000e-01   4.4900019531e+03
  4.9500000000e-01   4.4630410156e+03
  5.0000000000e-01   4.4452949219e+03
