# robin saxs scatter per-frame SAXS profile
# topology: pnt_STARLING.pdb
# trajectory: pnt_STARLING.xtc
# frame: 210 (original trajectory frame 210)
# selection: not element H
# c1=1.0  c2=2.0
# q (Å⁻¹)          I(q)
  5.0000000000e-03   7.0421150000e+05
  1.0000000000e-02   6.3598500000e+05
  1.5000000000e-02   5.3952750000e+05
  2.0000000000e-02   4.3448150000e+05
  2.5000000000e-02   3.3858600000e+05
  3.0000000000e-02   2.6293137500e+05
  3.5000000000e-02   2.1028200000e+05
  4.0000000000e-02   1.7661725000e+05
  4.5000000000e-02   1.5463943750e+05
  5.0000000000e-02   1.3744987500e+05
  5.5000000000e-02   1.2088131250e+05
  6.0000000000e-02   1.0393675000e+05
  6.5000000000e-02   8.7741937500e+04
  7.0000000000e-02   7.3956312500e+04
  7.5000000000e-02   6.3556718750e+04
  8.0000000000e-02   5.6417187500e+04
  8.5000000000e-02   5.1596062500e+04
  9.0000000000e-02   4.7927468750e+04
  9.5000000000e-02   4.4515968750e+04
  1.0000000000e-01   4.0941718750e+04
  1.0500000000e-01   3.7205437500e+04
  1.1000000000e-01   3.3555093750e+04
  1.1500000000e-01   3.0313281250e+04
  1.2000000000e-01   2.7752531250e+04
  1.2500000000e-01   2.6011953125e+04
  1.3000000000e-01   2.5044562500e+04
  1.3500000000e-01   2.4614140625e+04
  1.4000000000e-01   2.4360484375e+04
  1.4500000000e-01   2.3924484375e+04
  1.5000000000e-01   2.3082125000e+04
  1.5500000000e-01   2.1817843750e+04
  1.6000000000e-01   2.0298015625e+04
  1.6500000000e-01   1.8763359375e+04
  1.7000000000e-01   1.7403304688e+04
  1.7500000000e-01   1.6282546875e+04
  1.8000000000e-01   1.5349359375e+04
  1.8500000000e-01   1.4502117188e+04
  1.9000000000e-01   1.3664289062e+04
  1.9500000000e-01   1.2820929688e+04
  2.0000000000e-01   1.2006296875e+04
  2.0500000000e-01   1.1264812500e+04
  2.1000000000e-01   1.0618132812e+04
  2.1500000000e-01   1.0058726562e+04
  2.2000000000e-01   9.5655781250e+03
  2.2500000000e-01   9.1240078125e+03
  2.3000000000e-01   8.7341992188e+03
  2.3500000000e-01   8.4048281250e+03
  2.4000000000e-01   8.1407578125e+03
  2.4500000000e-01   7.9355156250e+03
  2.5000000000e-01   7.7731640625e+03
  2.5500000000e-01   7.6359687500e+03
  2.6000000000e-01   7.5114648438e+03
  2.6500000000e-01   7.3951406250e+03
  2.7000000000e-01   7.2892851562e+03
  2.7500000000e-01   7.2001875000e+03
  2.8000000000e-01   7.1353828125e+03
  2.8500000000e-01   7.0996289062e+03
  2.9000000000e-01   7.0905937500e+03
  2.9500000000e-01   7.0956601562e+03
  3.0000000000e-01   7.0938554688e+03
  3.0500000000e-01   7.0639257812e+03
  3.1000000000e-01   6.9954609375e+03
  3.1500000000e-01   6.8964726562e+03
  3.2000000000e-01   6.7916210938e+03
  3.2500000000e-01   6.7107226562e+03
  3.3000000000e-01   6.6736679688e+03
  3.3500000000e-01   6.6800078125e+03
  3.4000000000e-01   6.7088945312e+03
  3.4500000000e-01   6.7285625000e+03
  3.5000000000e-01   6.7097773438e+03
  3.5500000000e-01   6.6361445312e+03
  3.6000000000e-01   6.5080625000e+03
  3.6500000000e-01   6.3404492188e+03
  3.7000000000e-01   6.1571015625e+03
  3.7500000000e-01   5.9837265625e+03
  3.8000000000e-01   5.8410156250e+03
  3.8500000000e-01   5.7382500000e+03
  3.9000000000e-01   5.6696992188e+03
  3.9500000000e-01   5.6164414062e+03
  4.0000000000e-01   5.5544609375e+03
  4.0500000000e-01   5.4662148438e+03
  4.1000000000e-01   5.3497773438e+03
  4.1500000000e-01   5.2198085938e+03
  4.2000000000e-01   5.0988671875e+03
  4.2500000000e-01   5.0041679688e+03
  4.3000000000e-01   4.9376054688e+03
  4.3500000000e-01   4.8851914062e+03
  4.4000000000e-01   4.8261621094e+03
  4.4500000000e-01   4.7457832031e+03
  4.5000000000e-01   4.6433593750e+03
  4.5500000000e-01   4.5317343750e+03
  4.6000000000e-01   4.4290039062e+03
  4.6500000000e-01   4.3489296875e+03
  4.7000000000e-01   4.2957382812e+03
  4.7500000000e-01   4.2654921875e+03
  4.8000000000e-01   4.2511816406e+03
  4.8500000000e-01   4.2472226562e+03
  4.9000000000e-01   4.2502343750e+03
  4.9500000000e-01   4.2569003906e+03
  5.0000000000e-01   4.2617851562e+03
