# robin saxs scatter per-frame SAXS profile
# topology: pnt_STARLING.pdb
# trajectory: pnt_STARLING.xtc
# frame: 304 (original trajectory frame 304)
# selection: not element H
# c1=1.0  c2=2.0
# q (Å⁻¹)          I(q)
  5.0000000000e-03   6.3013950000e+05
  1.0000000000e-02   6.0475850000e+05
  1.5000000000e-02   5.6472375000e+05
  2.0000000000e-02   5.1313700000e+05
  2.5000000000e-02   4.5380700000e+05
  3.0000000000e-02   3.9080175000e+05
  3.5000000000e-02   3.2801375000e+05
  4.0000000000e-02   2.6878712500e+05
  4.5000000000e-02   2.1564337500e+05
  5.0000000000e-02   1.7015387500e+05
  5.5000000000e-02   1.3294331250e+05
  6.0000000000e-02   1.0380587500e+05
  6.5000000000e-02   8.1912937500e+04
  7.0000000000e-02   6.6052781250e+04
  7.5000000000e-02   5.4865343750e+04
  8.0000000000e-02   4.7041093750e+04
  8.5000000000e-02   4.1459718750e+04
  9.0000000000e-02   3.7261062500e+04
  9.5000000000e-02   3.3857593750e+04
  1.0000000000e-01   3.0900390625e+04
  1.0500000000e-01   2.8221140625e+04
  1.1000000000e-01   2.5766000000e+04
  1.1500000000e-01   2.3539640625e+04
  1.2000000000e-01   2.1562562500e+04
  1.2500000000e-01   1.9848781250e+04
  1.3000000000e-01   1.8397640625e+04
  1.3500000000e-01   1.7195390625e+04
  1.4000000000e-01   1.6220343750e+04
  1.4500000000e-01   1.5448398438e+04
  1.5000000000e-01   1.4853835938e+04
  1.5500000000e-01   1.4409125000e+04
  1.6000000000e-01   1.4082062500e+04
  1.6500000000e-01   1.3834703125e+04
  1.7000000000e-01   1.3624179688e+04
  1.7500000000e-01   1.3406351562e+04
  1.8000000000e-01   1.3142171875e+04
  1.8500000000e-01   1.2803476562e+04
  1.9000000000e-01   1.2378015625e+04
  1.9500000000e-01   1.1871289062e+04
  2.0000000000e-01   1.1304648438e+04
  2.0500000000e-01   1.0710210938e+04
  2.1000000000e-01   1.0124281250e+04
  2.1500000000e-01   9.5796562500e+03
  2.2000000000e-01   9.1008125000e+03
  2.2500000000e-01   8.7005781250e+03
  2.3000000000e-01   8.3802148438e+03
  2.3500000000e-01   8.1318359375e+03
  2.4000000000e-01   7.9425156250e+03
  2.4500000000e-01   7.7982265625e+03
  2.5000000000e-01   7.6873085938e+03
  2.5500000000e-01   7.6018476562e+03
  2.6000000000e-01   7.5380820312e+03
  2.6500000000e-01   7.4947109375e+03
  2.7000000000e-01   7.4711250000e+03
  2.7500000000e-01   7.4654492188e+03
  2.8000000000e-01   7.4732851562e+03
  2.8500000000e-01   7.4874101562e+03
  2.9000000000e-01   7.4984804688e+03
  2.9500000000e-01   7.4966484375e+03
  3.0000000000e-01   7.4728437500e+03
  3.0500000000e-01   7.4207382812e+03
  3.1000000000e-01   7.3374375000e+03
  3.1500000000e-01   7.2241601562e+03
  3.2000000000e-01   7.0857304688e+03
  3.2500000000e-01   6.9296953125e+03
  3.3000000000e-01   6.7650898438e+03
  3.3500000000e-01   6.6010078125e+03
  3.4000000000e-01   6.4450273438e+03
  3.4500000000e-01   6.3022187500e+03
  3.5000000000e-01   6.1745234375e+03
  3.5500000000e-01   6.0603710938e+03
  3.6000000000e-01   5.9554843750e+03
  3.6500000000e-01   5.8536289062e+03
  3.7000000000e-01   5.7481953125e+03
  3.7500000000e-01   5.6335468750e+03
  3.8000000000e-01   5.5065390625e+03
  3.8500000000e-01   5.3672656250e+03
  3.9000000000e-01   5.2193515625e+03
  3.9500000000e-01   5.0691289062e+03
  4.0000000000e-01   4.9246601562e+03
  4.0500000000e-01   4.7938789062e+03
  4.1000000000e-01   4.6829082031e+03
  4.1500000000e-01   4.5948554688e+03
  4.2000000000e-01   4.5292910156e+03
  4.2500000000e-01   4.4825078125e+03
  4.3000000000e-01   4.4486113281e+03
  4.3500000000e-01   4.4211406250e+03
  4.4000000000e-01   4.3946230469e+03
  4.4500000000e-01   4.3659902344e+03
  4.5000000000e-01   4.3349492188e+03
  4.5500000000e-01   4.3037011719e+03
  4.6000000000e-01   4.2759042969e+03
  4.6500000000e-01   4.2550351562e+03
  4.7000000000e-01   4.2428281250e+03
  4.7500000000e-01   4.2383242188e+03
  4.8000000000e-01   4.2374355469e+03
  4.8500000000e-01   4.2335976562e+03
  4.9000000000e-01   4.2191562500e+03
  4.9500000000e-01   4.1871777344e+03
  5.0000000000e-01   4.1331777344e+03
