# robin saxs scatter per-frame SAXS profile
# topology: pnt_STARLING.pdb
# trajectory: pnt_STARLING.xtc
# frame: 533 (original trajectory frame 533)
# selection: not element H
# c1=1.0  c2=2.0
# q (Å⁻¹)          I(q)
  5.0000000000e-03   6.1843050000e+05
  1.0000000000e-02   5.6393300000e+05
  1.5000000000e-02   4.8723150000e+05
  2.0000000000e-02   4.0423025000e+05
  2.5000000000e-02   3.2903650000e+05
  3.0000000000e-02   2.7008275000e+05
  3.5000000000e-02   2.2896250000e+05
  4.0000000000e-02   2.0190512500e+05
  4.5000000000e-02   1.8279812500e+05
  5.0000000000e-02   1.6617762500e+05
  5.5000000000e-02   1.4898300000e+05
  6.0000000000e-02   1.3071937500e+05
  6.5000000000e-02   1.1248856250e+05
  7.0000000000e-02   9.5717500000e+04
  7.5000000000e-02   8.1288187500e+04
  8.0000000000e-02   6.9328031250e+04
  8.5000000000e-02   5.9480250000e+04
  9.0000000000e-02   5.1300250000e+04
  9.5000000000e-02   4.4488156250e+04
  1.0000000000e-01   3.8891093750e+04
  1.0500000000e-01   3.4386703125e+04
  1.1000000000e-01   3.0792578125e+04
  1.1500000000e-01   2.7875375000e+04
  1.2000000000e-01   2.5430203125e+04
  1.2500000000e-01   2.3347671875e+04
  1.3000000000e-01   2.1613671875e+04
  1.3500000000e-01   2.0247593750e+04
  1.4000000000e-01   1.9230500000e+04
  1.4500000000e-01   1.8475500000e+04
  1.5000000000e-01   1.7853437500e+04
  1.5500000000e-01   1.7251335938e+04
  1.6000000000e-01   1.6616578125e+04
  1.6500000000e-01   1.5965343750e+04
  1.7000000000e-01   1.5352625000e+04
  1.7500000000e-01   1.4826859375e+04
  1.8000000000e-01   1.4397171875e+04
  1.8500000000e-01   1.4027351562e+04
  1.9000000000e-01   1.3654640625e+04
  1.9500000000e-01   1.3219429688e+04
  2.0000000000e-01   1.2691117188e+04
  2.0500000000e-01   1.2077617188e+04
  2.1000000000e-01   1.1418265625e+04
  2.1500000000e-01   1.0764531250e+04
  2.2000000000e-01   1.0159750000e+04
  2.2500000000e-01   9.6264375000e+03
  2.3000000000e-01   9.1651171875e+03
  2.3500000000e-01   8.7637773438e+03
  2.4000000000e-01   8.4097734375e+03
  2.4500000000e-01   8.0981601562e+03
  2.5000000000e-01   7.8316406250e+03
  2.5500000000e-01   7.6148710938e+03
  2.6000000000e-01   7.4470273438e+03
  2.6500000000e-01   7.3184414062e+03
  2.7000000000e-01   7.2130312500e+03
  2.7500000000e-01   7.1141015625e+03
  2.8000000000e-01   7.0102578125e+03
  2.8500000000e-01   6.8977968750e+03
  2.9000000000e-01   6.7787226562e+03
  2.9500000000e-01   6.6562421875e+03
  3.0000000000e-01   6.5312265625e+03
  3.0500000000e-01   6.4010000000e+03
  3.1000000000e-01   6.2613476562e+03
  3.1500000000e-01   6.1100429688e+03
  3.2000000000e-01   5.9498203125e+03
  3.2500000000e-01   5.7885078125e+03
  3.3000000000e-01   5.6365820312e+03
  3.3500000000e-01   5.5026406250e+03
  3.4000000000e-01   5.3897734375e+03
  3.4500000000e-01   5.2944414062e+03
  3.5000000000e-01   5.2085781250e+03
  3.5500000000e-01   5.1237578125e+03
  3.6000000000e-01   5.0351054688e+03
  3.6500000000e-01   4.9435781250e+03
  3.7000000000e-01   4.8554687500e+03
  3.7500000000e-01   4.7798671875e+03
  3.8000000000e-01   4.7257382812e+03
  3.8500000000e-01   4.6990546875e+03
  3.9000000000e-01   4.7009453125e+03
  3.9500000000e-01   4.7267890625e+03
  4.0000000000e-01   4.7670039062e+03
  4.0500000000e-01   4.8090664062e+03
  4.1000000000e-01   4.8405820312e+03
  4.1500000000e-01   4.8521992188e+03
  4.2000000000e-01   4.8390859375e+03
  4.2500000000e-01   4.8003203125e+03
  4.3000000000e-01   4.7372968750e+03
  4.3500000000e-01   4.6524023438e+03
  4.4000000000e-01   4.5490273438e+03
  4.4500000000e-01   4.4327773438e+03
  4.5000000000e-01   4.3118125000e+03
  4.5500000000e-01   4.1955859375e+03
  4.6000000000e-01   4.0916972656e+03
  4.6500000000e-01   4.0032031250e+03
  4.7000000000e-01   3.9282441406e+03
  4.7500000000e-01   3.8625664062e+03
  4.8000000000e-01   3.8032265625e+03
  4.8500000000e-01   3.7504863281e+03
  4.9000000000e-01   3.7064355469e+03
  4.9500000000e-01   3.6716289062e+03
  5.0000000000e-01   3.6425410156e+03
