# robin saxs scatter per-frame SAXS profile
# topology: pnt_STARLING.pdb
# trajectory: pnt_STARLING.xtc
# frame: 20 (original trajectory frame 20)
# selection: not element H
# c1=1.0  c2=2.0
# q (Å⁻¹)          I(q)
  5.0000000000e-03   6.2864650000e+05
  1.0000000000e-02   5.9909800000e+05
  1.5000000000e-02   5.5360925000e+05
  2.0000000000e-02   4.9707375000e+05
  2.5000000000e-02   4.3505925000e+05
  3.0000000000e-02   3.7288925000e+05
  3.5000000000e-02   3.1487100000e+05
  4.0000000000e-02   2.6384050000e+05
  4.5000000000e-02   2.2104775000e+05
  5.0000000000e-02   1.8637412500e+05
  5.5000000000e-02   1.5875662500e+05
  6.0000000000e-02   1.3669381250e+05
  6.5000000000e-02   1.1868768750e+05
  7.0000000000e-02   1.0353525000e+05
  7.5000000000e-02   9.0436937500e+04
  8.0000000000e-02   7.8962125000e+04
  8.5000000000e-02   6.8916312500e+04
  9.0000000000e-02   6.0198406250e+04
  9.5000000000e-02   5.2695250000e+04
  1.0000000000e-01   4.6242843750e+04
  1.0500000000e-01   4.0644156250e+04
  1.1000000000e-01   3.5721171875e+04
  1.1500000000e-01   3.1359437500e+04
  1.2000000000e-01   2.7528015625e+04
  1.2500000000e-01   2.4261765625e+04
  1.3000000000e-01   2.1618546875e+04
  1.3500000000e-01   1.9630484375e+04
  1.4000000000e-01   1.8268921875e+04
  1.4500000000e-01   1.7436296875e+04
  1.5000000000e-01   1.6983914062e+04
  1.5500000000e-01   1.6746750000e+04
  1.6000000000e-01   1.6579226562e+04
  1.6500000000e-01   1.6379164062e+04
  1.7000000000e-01   1.6094976562e+04
  1.7500000000e-01   1.5715968750e+04
  1.8000000000e-01   1.5254031250e+04
  1.8500000000e-01   1.4727320312e+04
  1.9000000000e-01   1.4150625000e+04
  1.9500000000e-01   1.3534867188e+04
  2.0000000000e-01   1.2892343750e+04
  2.0500000000e-01   1.2242875000e+04
  2.1000000000e-01   1.1614085938e+04
  2.1500000000e-01   1.1036703125e+04
  2.2000000000e-01   1.0534632812e+04
  2.2500000000e-01   1.0116140625e+04
  2.3000000000e-01   9.7690781250e+03
  2.3500000000e-01   9.4646328125e+03
  2.4000000000e-01   9.1664609375e+03
  2.4500000000e-01   8.8429375000e+03
  2.5000000000e-01   8.4773281250e+03
  2.5500000000e-01   8.0716640625e+03
  2.6000000000e-01   7.6438007812e+03
  2.6500000000e-01   7.2191328125e+03
  2.7000000000e-01   6.8210195312e+03
  2.7500000000e-01   6.4639062500e+03
  2.8000000000e-01   6.1509921875e+03
  2.8500000000e-01   5.8775351562e+03
  2.9000000000e-01   5.6366757812e+03
  2.9500000000e-01   5.4246523438e+03
  3.0000000000e-01   5.2432539062e+03
  3.0500000000e-01   5.0979765625e+03
  3.1000000000e-01   4.9933515625e+03
  3.1500000000e-01   4.9282109375e+03
  3.2000000000e-01   4.8930859375e+03
  3.2500000000e-01   4.8717617188e+03
  3.3000000000e-01   4.8463632812e+03
  3.3500000000e-01   4.8041445312e+03
  3.4000000000e-01   4.7426796875e+03
  3.4500000000e-01   4.6716914062e+03
  3.5000000000e-01   4.6099414062e+03
  3.5500000000e-01   4.5786015625e+03
  3.6000000000e-01   4.5933515625e+03
  3.6500000000e-01   4.6582031250e+03
  3.7000000000e-01   4.7633085938e+03
  3.7500000000e-01   4.8873671875e+03
  3.8000000000e-01   5.0039218750e+03
  3.8500000000e-01   5.0888515625e+03
  3.9000000000e-01   5.1267421875e+03
  3.9500000000e-01   5.1140781250e+03
  4.0000000000e-01   5.0585273438e+03
  4.0500000000e-01   4.9749804688e+03
  4.1000000000e-01   4.8800742188e+03
  4.1500000000e-01   4.7872109375e+03
  4.2000000000e-01   4.7034414062e+03
  4.2500000000e-01   4.6291015625e+03
  4.3000000000e-01   4.5596816406e+03
  4.3500000000e-01   4.4887851562e+03
  4.4000000000e-01   4.4112949219e+03
  4.4500000000e-01   4.3252226562e+03
  4.5000000000e-01   4.2322929688e+03
  4.5500000000e-01   4.1370273438e+03
  4.6000000000e-01   4.0449511719e+03
  4.6500000000e-01   3.9609472656e+03
  4.7000000000e-01   3.8877070312e+03
  4.7500000000e-01   3.8253945312e+03
  4.8000000000e-01   3.7719687500e+03
  4.8500000000e-01   3.7241171875e+03
  4.9000000000e-01   3.6784277344e+03
  4.9500000000e-01   3.6324902344e+03
  5.0000000000e-01   3.5854960938e+03
