# robin saxs scatter per-frame SAXS profile
# topology: pnt_STARLING.pdb
# trajectory: pnt_STARLING.xtc
# frame: 64 (original trajectory frame 64)
# selection: not element H
# c1=1.0  c2=2.0
# q (Å⁻¹)          I(q)
  5.0000000000e-03   7.5269900000e+05
  1.0000000000e-02   6.7743100000e+05
  1.5000000000e-02   5.6848425000e+05
  2.0000000000e-02   4.4586300000e+05
  2.5000000000e-02   3.2967900000e+05
  3.0000000000e-02   2.3533800000e+05
  3.5000000000e-02   1.7051362500e+05
  4.0000000000e-02   1.3464675000e+05
  4.5000000000e-02   1.2080043750e+05
  5.0000000000e-02   1.1899737500e+05
  5.5000000000e-02   1.1977143750e+05
  6.0000000000e-02   1.1678662500e+05
  6.5000000000e-02   1.0786387500e+05
  7.0000000000e-02   9.4398312500e+04
  7.5000000000e-02   7.9713843750e+04
  8.0000000000e-02   6.7158656250e+04
  8.5000000000e-02   5.8694843750e+04
  9.0000000000e-02   5.4386375000e+04
  9.5000000000e-02   5.2775937500e+04
  1.0000000000e-01   5.1802562500e+04
  1.0500000000e-01   4.9768093750e+04
  1.1000000000e-01   4.5949531250e+04
  1.1500000000e-01   4.0678656250e+04
  1.2000000000e-01   3.4965359375e+04
  1.2500000000e-01   2.9918968750e+04
  1.3000000000e-01   2.6247640625e+04
  1.3500000000e-01   2.4035906250e+04
  1.4000000000e-01   2.2834203125e+04
  1.4500000000e-01   2.1960906250e+04
  1.5000000000e-01   2.0842156250e+04
  1.5500000000e-01   1.9236703125e+04
  1.6000000000e-01   1.7270601562e+04
  1.6500000000e-01   1.5305312500e+04
  1.7000000000e-01   1.3728093750e+04
  1.7500000000e-01   1.2772054688e+04
  1.8000000000e-01   1.2435085938e+04
  1.8500000000e-01   1.2514023438e+04
  1.9000000000e-01   1.2714554688e+04
  1.9500000000e-01   1.2776703125e+04
  2.0000000000e-01   1.2560257812e+04
  2.0500000000e-01   1.2065718750e+04
  2.1000000000e-01   1.1397085938e+04
  2.1500000000e-01   1.0696539062e+04
  2.2000000000e-01   1.0083523438e+04
  2.2500000000e-01   9.6203593750e+03
  2.3000000000e-01   9.3086523438e+03
  2.3500000000e-01   9.1078320312e+03
  2.4000000000e-01   8.9606679688e+03
  2.4500000000e-01   8.8144960938e+03
  2.5000000000e-01   8.6324023438e+03
  2.5500000000e-01   8.3966835938e+03
  2.6000000000e-01   8.1082070312e+03
  2.6500000000e-01   7.7840468750e+03
  2.7000000000e-01   7.4541367188e+03
  2.7500000000e-01   7.1555429688e+03
  2.8000000000e-01   6.9230156250e+03
  2.8500000000e-01   6.7782187500e+03
  2.9000000000e-01   6.7210468750e+03
  2.9500000000e-01   6.7274257812e+03
  3.0000000000e-01   6.7560937500e+03
  3.0500000000e-01   6.7623164062e+03
  3.1000000000e-01   6.7138320312e+03
  3.1500000000e-01   6.6021250000e+03
  3.2000000000e-01   6.4447421875e+03
  3.2500000000e-01   6.2770781250e+03
  3.3000000000e-01   6.1372890625e+03
  3.3500000000e-01   6.0510898438e+03
  3.4000000000e-01   6.0221601562e+03
  3.4500000000e-01   6.0325351562e+03
  3.5000000000e-01   6.0518398438e+03
  3.5500000000e-01   6.0510312500e+03
  3.6000000000e-01   6.0146992188e+03
  3.6500000000e-01   5.9460195312e+03
  3.7000000000e-01   5.8635468750e+03
  3.7500000000e-01   5.7910546875e+03
  3.8000000000e-01   5.7461015625e+03
  3.8500000000e-01   5.7321210938e+03
  3.9000000000e-01   5.7376406250e+03
  3.9500000000e-01   5.7421718750e+03
  4.0000000000e-01   5.7260273438e+03
  4.0500000000e-01   5.6786445312e+03
  4.1000000000e-01   5.6023554688e+03
  4.1500000000e-01   5.5098789062e+03
  4.2000000000e-01   5.4174804688e+03
  4.2500000000e-01   5.3375351562e+03
  4.3000000000e-01   5.2739296875e+03
  4.3500000000e-01   5.2219414062e+03
  4.4000000000e-01   5.1725429688e+03
  4.4500000000e-01   5.1178632812e+03
  4.5000000000e-01   5.0551093750e+03
  4.5500000000e-01   4.9873632812e+03
  4.6000000000e-01   4.9209863281e+03
  4.6500000000e-01   4.8619707031e+03
  4.7000000000e-01   4.8131914062e+03
  4.7500000000e-01   4.7741269531e+03
  4.8000000000e-01   4.7425976562e+03
  4.8500000000e-01   4.7171132812e+03
  4.9000000000e-01   4.6977617188e+03
  4.9500000000e-01   4.6849140625e+03
  5.0000000000e-01   4.6764335938e+03
