# robin saxs scatter per-frame SAXS profile
# topology: pnt_STARLING.pdb
# trajectory: pnt_STARLING.xtc
# frame: 188 (original trajectory frame 188)
# selection: not element H
# c1=1.0  c2=2.0
# q (Å⁻¹)          I(q)
  5.0000000000e-03   7.4394000000e+05
  1.0000000000e-02   6.7404950000e+05
  1.5000000000e-02   5.7279575000e+05
  2.0000000000e-02   4.5840750000e+05
  2.5000000000e-02   3.4885200000e+05
  3.0000000000e-02   2.5754750000e+05
  3.5000000000e-02   1.9094112500e+05
  4.0000000000e-02   1.4850262500e+05
  4.5000000000e-02   1.2470418750e+05
  5.0000000000e-02   1.1195200000e+05
  5.5000000000e-02   1.0333306250e+05
  6.0000000000e-02   9.4332625000e+04
  6.5000000000e-02   8.3256500000e+04
  7.0000000000e-02   7.0609375000e+04
  7.5000000000e-02   5.7980468750e+04
  8.0000000000e-02   4.6988750000e+04
  8.5000000000e-02   3.8634656250e+04
  9.0000000000e-02   3.3124187500e+04
  9.5000000000e-02   3.0041156250e+04
  1.0000000000e-01   2.8657187500e+04
  1.0500000000e-01   2.8215328125e+04
  1.1000000000e-01   2.8104578125e+04
  1.1500000000e-01   2.7923281250e+04
  1.2000000000e-01   2.7467812500e+04
  1.2500000000e-01   2.6687453125e+04
  1.3000000000e-01   2.5627687500e+04
  1.3500000000e-01   2.4379062500e+04
  1.4000000000e-01   2.3036421875e+04
  1.4500000000e-01   2.1676468750e+04
  1.5000000000e-01   2.0352328125e+04
  1.5500000000e-01   1.9103312500e+04
  1.6000000000e-01   1.7965585938e+04
  1.6500000000e-01   1.6976523438e+04
  1.7000000000e-01   1.6168109375e+04
  1.7500000000e-01   1.5553093750e+04
  1.8000000000e-01   1.5115710938e+04
  1.8500000000e-01   1.4811257812e+04
  1.9000000000e-01   1.4577554688e+04
  1.9500000000e-01   1.4351375000e+04
  2.0000000000e-01   1.4083835938e+04
  2.0500000000e-01   1.3747359375e+04
  2.1000000000e-01   1.3336468750e+04
  2.1500000000e-01   1.2862312500e+04
  2.2000000000e-01   1.2346656250e+04
  2.2500000000e-01   1.1815906250e+04
  2.3000000000e-01   1.1295835938e+04
  2.3500000000e-01   1.0806828125e+04
  2.4000000000e-01   1.0359679688e+04
  2.4500000000e-01   9.9539531250e+03
  2.5000000000e-01   9.5795351562e+03
  2.5500000000e-01   9.2217734375e+03
  2.6000000000e-01   8.8688515625e+03
  2.6500000000e-01   8.5180000000e+03
  2.7000000000e-01   8.1787265625e+03
  2.7500000000e-01   7.8710468750e+03
  2.8000000000e-01   7.6192226562e+03
  2.8500000000e-01   7.4431171875e+03
  2.9000000000e-01   7.3497773438e+03
  2.9500000000e-01   7.3280351562e+03
  3.0000000000e-01   7.3493125000e+03
  3.0500000000e-01   7.3746875000e+03
  3.1000000000e-01   7.3669414062e+03
  3.1500000000e-01   7.3031171875e+03
  3.2000000000e-01   7.1825625000e+03
  3.2500000000e-01   7.0268203125e+03
  3.3000000000e-01   6.8709140625e+03
  3.3500000000e-01   6.7487226562e+03
  3.4000000000e-01   6.6792890625e+03
  3.4500000000e-01   6.6592578125e+03
  3.5000000000e-01   6.6646796875e+03
  3.5500000000e-01   6.6610585938e+03
  3.6000000000e-01   6.6170351562e+03
  3.6500000000e-01   6.5157539062e+03
  3.7000000000e-01   6.3599414062e+03
  3.7500000000e-01   6.1690546875e+03
  3.8000000000e-01   5.9709882812e+03
  3.8500000000e-01   5.7918632812e+03
  3.9000000000e-01   5.6483085938e+03
  3.9500000000e-01   5.5442070312e+03
  4.0000000000e-01   5.4726679688e+03
  4.0500000000e-01   5.4209843750e+03
  4.1000000000e-01   5.3765195312e+03
  4.1500000000e-01   5.3306796875e+03
  4.2000000000e-01   5.2801640625e+03
  4.2500000000e-01   5.2255468750e+03
  4.3000000000e-01   5.1688964844e+03
  4.3500000000e-01   5.1120175781e+03
  4.4000000000e-01   5.0562246094e+03
  4.4500000000e-01   5.0031718750e+03
  4.5000000000e-01   4.9554960938e+03
  4.5500000000e-01   4.9163671875e+03
  4.6000000000e-01   4.8874531250e+03
  4.6500000000e-01   4.8665546875e+03
  4.7000000000e-01   4.8468300781e+03
  4.7500000000e-01   4.8185937500e+03
  4.8000000000e-01   4.7732695312e+03
  4.8500000000e-01   4.7075253906e+03
  4.9000000000e-01   4.6253105469e+03
  4.9500000000e-01   4.5361816406e+03
  5.0000000000e-01   4.4508847656e+03
