# robin saxs scatter per-frame SAXS profile
# topology: pnt_STARLING.pdb
# trajectory: pnt_STARLING.xtc
# frame: 321 (original trajectory frame 321)
# selection: not element H
# c1=1.0  c2=2.0
# q (Å⁻¹)          I(q)
  5.0000000000e-03   7.3505450000e+05
  1.0000000000e-02   6.7954850000e+05
  1.5000000000e-02   5.9865575000e+05
  2.0000000000e-02   5.0604125000e+05
  2.5000000000e-02   4.1486675000e+05
  3.0000000000e-02   3.3472100000e+05
  3.5000000000e-02   2.7021612500e+05
  4.0000000000e-02   2.2143962500e+05
  4.5000000000e-02   1.8560825000e+05
  5.0000000000e-02   1.5898750000e+05
  5.5000000000e-02   1.3831193750e+05
  6.0000000000e-02   1.2135806250e+05
  6.5000000000e-02   1.0685525000e+05
  7.0000000000e-02   9.4095562500e+04
  7.5000000000e-02   8.2618250000e+04
  8.0000000000e-02   7.2101875000e+04
  8.5000000000e-02   6.2401000000e+04
  9.0000000000e-02   5.3581062500e+04
  9.5000000000e-02   4.5857062500e+04
  1.0000000000e-01   3.9452625000e+04
  1.0500000000e-01   3.4464828125e+04
  1.1000000000e-01   3.0807531250e+04
  1.1500000000e-01   2.8255062500e+04
  1.2000000000e-01   2.6533750000e+04
  1.2500000000e-01   2.5400250000e+04
  1.3000000000e-01   2.4667609375e+04
  1.3500000000e-01   2.4185218750e+04
  1.4000000000e-01   2.3806546875e+04
  1.4500000000e-01   2.3375375000e+04
  1.5000000000e-01   2.2743515625e+04
  1.5500000000e-01   2.1806312500e+04
  1.6000000000e-01   2.0535843750e+04
  1.6500000000e-01   1.8995406250e+04
  1.7000000000e-01   1.7325265625e+04
  1.7500000000e-01   1.5704234375e+04
  1.8000000000e-01   1.4298343750e+04
  1.8500000000e-01   1.3211796875e+04
  1.9000000000e-01   1.2459132812e+04
  1.9500000000e-01   1.1971320312e+04
  2.0000000000e-01   1.1633031250e+04
  2.0500000000e-01   1.1334859375e+04
  2.1000000000e-01   1.1014343750e+04
  2.1500000000e-01   1.0667375000e+04
  2.2000000000e-01   1.0327914062e+04
  2.2500000000e-01   1.0031421875e+04
  2.3000000000e-01   9.7868046875e+03
  2.3500000000e-01   9.5717656250e+03
  2.4000000000e-01   9.3501171875e+03
  2.4500000000e-01   9.0965312500e+03
  2.5000000000e-01   8.8107656250e+03
  2.5500000000e-01   8.5150625000e+03
  2.6000000000e-01   8.2396523438e+03
  2.6500000000e-01   8.0078398438e+03
  2.7000000000e-01   7.8290742188e+03
  2.7500000000e-01   7.7003671875e+03
  2.8000000000e-01   7.6105039062e+03
  2.8500000000e-01   7.5423906250e+03
  2.9000000000e-01   7.4738789062e+03
  2.9500000000e-01   7.3808867188e+03
  3.0000000000e-01   7.2448437500e+03
  3.0500000000e-01   7.0612734375e+03
  3.1000000000e-01   6.8439335938e+03
  3.1500000000e-01   6.6197968750e+03
  3.2000000000e-01   6.4166523438e+03
  3.2500000000e-01   6.2516328125e+03
  3.3000000000e-01   6.1272500000e+03
  3.3500000000e-01   6.0366132812e+03
  3.4000000000e-01   5.9724179688e+03
  3.4500000000e-01   5.9322382812e+03
  3.5000000000e-01   5.9158164062e+03
  3.5500000000e-01   5.9179609375e+03
  3.6000000000e-01   5.9237734375e+03
  3.6500000000e-01   5.9115273438e+03
  3.7000000000e-01   5.8626601562e+03
  3.7500000000e-01   5.7717304688e+03
  3.8000000000e-01   5.6497500000e+03
  3.8500000000e-01   5.5182265625e+03
  3.9000000000e-01   5.3982968750e+03
  3.9500000000e-01   5.3011523438e+03
  4.0000000000e-01   5.2254531250e+03
  4.0500000000e-01   5.1609492188e+03
  4.1000000000e-01   5.0950117188e+03
  4.1500000000e-01   5.0176445312e+03
  4.2000000000e-01   4.9233281250e+03
  4.2500000000e-01   4.8113613281e+03
  4.3000000000e-01   4.6861035156e+03
  4.3500000000e-01   4.5573164062e+03
  4.4000000000e-01   4.4390683594e+03
  4.4500000000e-01   4.3460039062e+03
  4.5000000000e-01   4.2877558594e+03
  4.5500000000e-01   4.2647011719e+03
  4.6000000000e-01   4.2678027344e+03
  4.6500000000e-01   4.2832617188e+03
  4.7000000000e-01   4.2989492188e+03
  4.7500000000e-01   4.3091269531e+03
  4.8000000000e-01   4.3145781250e+03
  4.8500000000e-01   4.3194902344e+03
  4.9000000000e-01   4.3274531250e+03
  4.9500000000e-01   4.3396718750e+03
  5.0000000000e-01   4.3556562500e+03
