# robin saxs scatter per-frame SAXS profile
# topology: pnt_STARLING.pdb
# trajectory: pnt_STARLING.xtc
# frame: 353 (original trajectory frame 353)
# selection: not element H
# c1=1.0  c2=2.0
# q (Å⁻¹)          I(q)
  5.0000000000e-03   6.9500800000e+05
  1.0000000000e-02   6.4535200000e+05
  1.5000000000e-02   5.7266300000e+05
  2.0000000000e-02   4.8892300000e+05
  2.5000000000e-02   4.0585400000e+05
  3.0000000000e-02   3.3212800000e+05
  3.5000000000e-02   2.7194812500e+05
  4.0000000000e-02   2.2524812500e+05
  4.5000000000e-02   1.8915250000e+05
  5.0000000000e-02   1.5993762500e+05
  5.5000000000e-02   1.3464062500e+05
  6.0000000000e-02   1.1182531250e+05
  6.5000000000e-02   9.1456312500e+04
  7.0000000000e-02   7.4187625000e+04
  7.5000000000e-02   6.0580593750e+04
  8.0000000000e-02   5.0625187500e+04
  8.5000000000e-02   4.3707812500e+04
  9.0000000000e-02   3.8911968750e+04
  9.5000000000e-02   3.5397265625e+04
  1.0000000000e-01   3.2636078125e+04
  1.0500000000e-01   3.0424031250e+04
  1.1000000000e-01   2.8727218750e+04
  1.1500000000e-01   2.7503843750e+04
  1.2000000000e-01   2.6621328125e+04
  1.2500000000e-01   2.5892265625e+04
  1.3000000000e-01   2.5175796875e+04
  1.3500000000e-01   2.4451265625e+04
  1.4000000000e-01   2.3803750000e+04
  1.4500000000e-01   2.3333312500e+04
  1.5000000000e-01   2.3048734375e+04
  1.5500000000e-01   2.2821859375e+04
  1.6000000000e-01   2.2432046875e+04
  1.6500000000e-01   2.1677375000e+04
  1.7000000000e-01   2.0485734375e+04
  1.7500000000e-01   1.8959031250e+04
  1.8000000000e-01   1.7328007812e+04
  1.8500000000e-01   1.5843265625e+04
  1.9000000000e-01   1.4662710938e+04
  1.9500000000e-01   1.3794476562e+04
  2.0000000000e-01   1.3118570312e+04
  2.0500000000e-01   1.2466500000e+04
  2.1000000000e-01   1.1713335938e+04
  2.1500000000e-01   1.0832687500e+04
  2.2000000000e-01   9.8956406250e+03
  2.2500000000e-01   9.0212109375e+03
  2.3000000000e-01   8.3132890625e+03
  2.3500000000e-01   7.8166015625e+03
  2.4000000000e-01   7.5090195312e+03
  2.4500000000e-01   7.3267929688e+03
  2.5000000000e-01   7.2026250000e+03
  2.5500000000e-01   7.0956171875e+03
  2.6000000000e-01   7.0011210938e+03
  2.6500000000e-01   6.9410312500e+03
  2.7000000000e-01   6.9440234375e+03
  2.7500000000e-01   7.0278085938e+03
  2.8000000000e-01   7.1896171875e+03
  2.8500000000e-01   7.4065312500e+03
  2.9000000000e-01   7.6423437500e+03
  2.9500000000e-01   7.8564296875e+03
  3.0000000000e-01   8.0116171875e+03
  3.0500000000e-01   8.0800937500e+03
  3.1000000000e-01   8.0462265625e+03
  3.1500000000e-01   7.9075117188e+03
  3.2000000000e-01   7.6732578125e+03
  3.2500000000e-01   7.3617539062e+03
  3.3000000000e-01   6.9975468750e+03
  3.3500000000e-01   6.6086992188e+03
  3.4000000000e-01   6.2244296875e+03
  3.4500000000e-01   5.8728164062e+03
  3.5000000000e-01   5.5770742188e+03
  3.5500000000e-01   5.3509843750e+03
  3.6000000000e-01   5.1959414062e+03
  3.6500000000e-01   5.1007187500e+03
  3.7000000000e-01   5.0458554688e+03
  3.7500000000e-01   5.0111796875e+03
  3.8000000000e-01   4.9827890625e+03
  3.8500000000e-01   4.9565351562e+03
  3.9000000000e-01   4.9354765625e+03
  3.9500000000e-01   4.9237578125e+03
  4.0000000000e-01   4.9205703125e+03
  4.0500000000e-01   4.9188671875e+03
  4.1000000000e-01   4.9094316406e+03
  4.1500000000e-01   4.8883203125e+03
  4.2000000000e-01   4.8620996094e+03
  4.2500000000e-01   4.8468222656e+03
  4.3000000000e-01   4.8598222656e+03
  4.3500000000e-01   4.9088164062e+03
  4.4000000000e-01   4.9840234375e+03
  4.4500000000e-01   5.0589960938e+03
  4.5000000000e-01   5.0998984375e+03
  4.5500000000e-01   5.0793945312e+03
  4.6000000000e-01   4.9877656250e+03
  4.6500000000e-01   4.8359277344e+03
  4.7000000000e-01   4.6493613281e+03
  4.7500000000e-01   4.4566269531e+03
  4.8000000000e-01   4.2790664062e+03
  4.8500000000e-01   4.1261601562e+03
  4.9000000000e-01   3.9980156250e+03
  4.9500000000e-01   3.8917031250e+03
  5.0000000000e-01   3.8068964844e+03
