# robin saxs scatter per-frame SAXS profile
# topology: pnt_STARLING.pdb
# trajectory: pnt_STARLING.xtc
# frame: 548 (original trajectory frame 548)
# selection: not element H
# c1=1.0  c2=2.0
# q (Å⁻¹)          I(q)
  5.0000000000e-03   6.3057550000e+05
  1.0000000000e-02   5.9787550000e+05
  1.5000000000e-02   5.4719050000e+05
  2.0000000000e-02   4.8359550000e+05
  2.5000000000e-02   4.1304600000e+05
  3.0000000000e-02   3.4149600000e+05
  3.5000000000e-02   2.7411875000e+05
  4.0000000000e-02   2.1474350000e+05
  4.5000000000e-02   1.6556912500e+05
  5.0000000000e-02   1.2720731250e+05
  5.5000000000e-02   9.8947687500e+04
  6.0000000000e-02   7.9197062500e+04
  6.5000000000e-02   6.5945687500e+04
  7.0000000000e-02   5.7181406250e+04
  7.5000000000e-02   5.1182687500e+04
  8.0000000000e-02   4.6665937500e+04
  8.5000000000e-02   4.2808968750e+04
  9.0000000000e-02   3.9179656250e+04
  9.5000000000e-02   3.5626265625e+04
  1.0000000000e-01   3.2165546875e+04
  1.0500000000e-01   2.8894015625e+04
  1.1000000000e-01   2.5932406250e+04
  1.1500000000e-01   2.3393390625e+04
  1.2000000000e-01   2.1365750000e+04
  1.2500000000e-01   1.9902156250e+04
  1.3000000000e-01   1.9005968750e+04
  1.3500000000e-01   1.8621687500e+04
  1.4000000000e-01   1.8631453125e+04
  1.4500000000e-01   1.8866687500e+04
  1.5000000000e-01   1.9132921875e+04
  1.5500000000e-01   1.9245843750e+04
  1.6000000000e-01   1.9068000000e+04
  1.6500000000e-01   1.8536296875e+04
  1.7000000000e-01   1.7671546875e+04
  1.7500000000e-01   1.6567656250e+04
  1.8000000000e-01   1.5363085938e+04
  1.8500000000e-01   1.4203335938e+04
  1.9000000000e-01   1.3206156250e+04
  1.9500000000e-01   1.2436773438e+04
  2.0000000000e-01   1.1900468750e+04
  2.0500000000e-01   1.1551773438e+04
  2.1000000000e-01   1.1314960938e+04
  2.1500000000e-01   1.1109210938e+04
  2.2000000000e-01   1.0869859375e+04
  2.2500000000e-01   1.0560960938e+04
  2.3000000000e-01   1.0177687500e+04
  2.3500000000e-01   9.7388593750e+03
  2.4000000000e-01   9.2754843750e+03
  2.4500000000e-01   8.8189218750e+03
  2.5000000000e-01   8.3922773438e+03
  2.5500000000e-01   8.0077109375e+03
  2.6000000000e-01   7.6679335938e+03
  2.6500000000e-01   7.3708203125e+03
  2.7000000000e-01   7.1138398438e+03
  2.7500000000e-01   6.8969492188e+03
  2.8000000000e-01   6.7224453125e+03
  2.8500000000e-01   6.5922968750e+03
  2.9000000000e-01   6.5051210938e+03
  2.9500000000e-01   6.4535742188e+03
  3.0000000000e-01   6.4240195312e+03
  3.0500000000e-01   6.3986328125e+03
  3.1000000000e-01   6.3597421875e+03
  3.1500000000e-01   6.2942578125e+03
  3.2000000000e-01   6.1976757812e+03
  3.2500000000e-01   6.0752695312e+03
  3.3000000000e-01   5.9406718750e+03
  3.3500000000e-01   5.8118359375e+03
  3.4000000000e-01   5.7057773438e+03
  3.4500000000e-01   5.6332578125e+03
  3.5000000000e-01   5.5956093750e+03
  3.5500000000e-01   5.5839531250e+03
  3.6000000000e-01   5.5817343750e+03
  3.6500000000e-01   5.5691406250e+03
  3.7000000000e-01   5.5290117188e+03
  3.7500000000e-01   5.4513437500e+03
  3.8000000000e-01   5.3364921875e+03
  3.8500000000e-01   5.1950234375e+03
  3.9000000000e-01   5.0450625000e+03
  3.9500000000e-01   4.9074062500e+03
  4.0000000000e-01   4.8003750000e+03
  4.0500000000e-01   4.7351914062e+03
  4.1000000000e-01   4.7135507812e+03
  4.1500000000e-01   4.7277734375e+03
  4.2000000000e-01   4.7632421875e+03
  4.2500000000e-01   4.8023085938e+03
  4.3000000000e-01   4.8287421875e+03
  4.3500000000e-01   4.8311210938e+03
  4.4000000000e-01   4.8046718750e+03
  4.4500000000e-01   4.7512031250e+03
  4.5000000000e-01   4.6773906250e+03
  4.5500000000e-01   4.5922109375e+03
  4.6000000000e-01   4.5042500000e+03
  4.6500000000e-01   4.4198437500e+03
  4.7000000000e-01   4.3421152344e+03
  4.7500000000e-01   4.2713007812e+03
  4.8000000000e-01   4.2058359375e+03
  4.8500000000e-01   4.1436250000e+03
  4.9000000000e-01   4.0833007812e+03
  4.9500000000e-01   4.0247714844e+03
  5.0000000000e-01   3.9692343750e+03
