# robin saxs scatter per-frame SAXS profile
# topology: pnt_STARLING.pdb
# trajectory: pnt_STARLING.xtc
# frame: 394 (original trajectory frame 394)
# selection: not element H
# c1=1.0  c2=2.0
# q (Å⁻¹)          I(q)
  5.0000000000e-03   6.5787700000e+05
  1.0000000000e-02   5.7900775000e+05
  1.5000000000e-02   4.7285075000e+05
  2.0000000000e-02   3.6548775000e+05
  2.5000000000e-02   2.7642325000e+05
  3.0000000000e-02   2.1303337500e+05
  3.5000000000e-02   1.7170487500e+05
  4.0000000000e-02   1.4369537500e+05
  4.5000000000e-02   1.2148881250e+05
  5.0000000000e-02   1.0205343750e+05
  5.5000000000e-02   8.6112312500e+04
  6.0000000000e-02   7.5174562500e+04
  6.5000000000e-02   6.9040343750e+04
  7.0000000000e-02   6.5435906250e+04
  7.5000000000e-02   6.1532187500e+04
  8.0000000000e-02   5.5782312500e+04
  8.5000000000e-02   4.8624812500e+04
  9.0000000000e-02   4.1721718750e+04
  9.5000000000e-02   3.6547656250e+04
  1.0000000000e-01   3.3440546875e+04
  1.0500000000e-01   3.1668687500e+04
  1.1000000000e-01   3.0204171875e+04
  1.1500000000e-01   2.8471765625e+04
  1.2000000000e-01   2.6540781250e+04
  1.2500000000e-01   2.4785234375e+04
  1.3000000000e-01   2.3430890625e+04
  1.3500000000e-01   2.2382187500e+04
  1.4000000000e-01   2.1387843750e+04
  1.4500000000e-01   2.0307515625e+04
  1.5000000000e-01   1.9213750000e+04
  1.5500000000e-01   1.8270007812e+04
  1.6000000000e-01   1.7538703125e+04
  1.6500000000e-01   1.6914187500e+04
  1.7000000000e-01   1.6229085938e+04
  1.7500000000e-01   1.5416984375e+04
  1.8000000000e-01   1.4573390625e+04
  1.8500000000e-01   1.3863617188e+04
  1.9000000000e-01   1.3370351562e+04
  1.9500000000e-01   1.3019812500e+04
  2.0000000000e-01   1.2648437500e+04
  2.0500000000e-01   1.2145445312e+04
  2.1000000000e-01   1.1546554688e+04
  2.1500000000e-01   1.1002593750e+04
  2.2000000000e-01   1.0654406250e+04
  2.2500000000e-01   1.0520000000e+04
  2.3000000000e-01   1.0481695312e+04
  2.3500000000e-01   1.0376132812e+04
  2.4000000000e-01   1.0110593750e+04
  2.4500000000e-01   9.7175781250e+03
  2.5000000000e-01   9.3137578125e+03
  2.5500000000e-01   9.0066015625e+03
  2.6000000000e-01   8.8212265625e+03
  2.6500000000e-01   8.6991367188e+03
  2.7000000000e-01   8.5578242188e+03
  2.7500000000e-01   8.3580546875e+03
  2.8000000000e-01   8.1272421875e+03
  2.8500000000e-01   7.9261328125e+03
  2.9000000000e-01   7.7917031250e+03
  2.9500000000e-01   7.7028398438e+03
  3.0000000000e-01   7.5944726562e+03
  3.0500000000e-01   7.4072812500e+03
  3.1000000000e-01   7.1327343750e+03
  3.1500000000e-01   6.8206757812e+03
  3.2000000000e-01   6.5456875000e+03
  3.2500000000e-01   6.3584726562e+03
  3.3000000000e-01   6.2575390625e+03
  3.3500000000e-01   6.1976757812e+03
  3.4000000000e-01   6.1241367188e+03
  3.4500000000e-01   6.0055625000e+03
  3.5000000000e-01   5.8441132812e+03
  3.5500000000e-01   5.6624140625e+03
  3.6000000000e-01   5.4842929688e+03
  3.6500000000e-01   5.3255117188e+03
  3.7000000000e-01   5.1975859375e+03
  3.7500000000e-01   5.1133046875e+03
  3.8000000000e-01   5.0827929688e+03
  3.8500000000e-01   5.1007695312e+03
  3.9000000000e-01   5.1382148438e+03
  3.9500000000e-01   5.1516757812e+03
  4.0000000000e-01   5.1083906250e+03
  4.0500000000e-01   5.0099921875e+03
  4.1000000000e-01   4.8947031250e+03
  4.1500000000e-01   4.8129375000e+03
  4.2000000000e-01   4.7923515625e+03
  4.2500000000e-01   4.8174375000e+03
  4.3000000000e-01   4.8397734375e+03
  4.3500000000e-01   4.8117031250e+03
  4.4000000000e-01   4.7191601562e+03
  4.4500000000e-01   4.5903964844e+03
  4.5000000000e-01   4.4753320312e+03
  4.5500000000e-01   4.4119316406e+03
  4.6000000000e-01   4.4034316406e+03
  4.6500000000e-01   4.4210039062e+03
  4.7000000000e-01   4.4267363281e+03
  4.7500000000e-01   4.3990820312e+03
  4.8000000000e-01   4.3431992188e+03
  4.8500000000e-01   4.2821992188e+03
  4.9000000000e-01   4.2385312500e+03
  4.9500000000e-01   4.2196035156e+03
  5.0000000000e-01   4.2161933594e+03
