# robin saxs scatter per-frame SAXS profile
# topology: pnt_STARLING.pdb
# trajectory: pnt_STARLING.xtc
# frame: 327 (original trajectory frame 327)
# selection: not element H
# c1=1.0  c2=2.0
# q (Å⁻¹)          I(q)
  5.0000000000e-03   6.0555850000e+05
  1.0000000000e-02   5.8261650000e+05
  1.5000000000e-02   5.4638600000e+05
  2.0000000000e-02   4.9961750000e+05
  2.5000000000e-02   4.4568225000e+05
  3.0000000000e-02   3.8819325000e+05
  3.5000000000e-02   3.3062150000e+05
  4.0000000000e-02   2.7595412500e+05
  4.5000000000e-02   2.2647475000e+05
  5.0000000000e-02   1.8363350000e+05
  5.5000000000e-02   1.4805025000e+05
  6.0000000000e-02   1.1961718750e+05
  6.5000000000e-02   9.7668437500e+04
  7.0000000000e-02   8.1184062500e+04
  7.5000000000e-02   6.8995250000e+04
  8.0000000000e-02   5.9957312500e+04
  8.5000000000e-02   5.3070843750e+04
  9.0000000000e-02   4.7553812500e+04
  9.5000000000e-02   4.2858968750e+04
  1.0000000000e-01   3.8653843750e+04
  1.0500000000e-01   3.4776437500e+04
  1.1000000000e-01   3.1180328125e+04
  1.1500000000e-01   2.7882671875e+04
  1.2000000000e-01   2.4923578125e+04
  1.2500000000e-01   2.2336468750e+04
  1.3000000000e-01   2.0135609375e+04
  1.3500000000e-01   1.8311921875e+04
  1.4000000000e-01   1.6837078125e+04
  1.4500000000e-01   1.5670804688e+04
  1.5000000000e-01   1.4769562500e+04
  1.5500000000e-01   1.4091757812e+04
  1.6000000000e-01   1.3601375000e+04
  1.6500000000e-01   1.3268484375e+04
  1.7000000000e-01   1.3067398438e+04
  1.7500000000e-01   1.2973210938e+04
  1.8000000000e-01   1.2959375000e+04
  1.8500000000e-01   1.2995101562e+04
  1.9000000000e-01   1.3045609375e+04
  1.9500000000e-01   1.3073968750e+04
  2.0000000000e-01   1.3044890625e+04
  2.0500000000e-01   1.2929203125e+04
  2.1000000000e-01   1.2708445312e+04
  2.1500000000e-01   1.2377171875e+04
  2.2000000000e-01   1.1944359375e+04
  2.2500000000e-01   1.1430710938e+04
  2.3000000000e-01   1.0864765625e+04
  2.3500000000e-01   1.0277476562e+04
  2.4000000000e-01   9.6971406250e+03
  2.4500000000e-01   9.1447890625e+03
  2.5000000000e-01   8.6326093750e+03
  2.5500000000e-01   8.1642382812e+03
  2.6000000000e-01   7.7368046875e+03
  2.6500000000e-01   7.3445742188e+03
  2.7000000000e-01   6.9820039062e+03
  2.7500000000e-01   6.6462695312e+03
  2.8000000000e-01   6.3378906250e+03
  2.8500000000e-01   6.0601015625e+03
  2.9000000000e-01   5.8168203125e+03
  2.9500000000e-01   5.6105351562e+03
  3.0000000000e-01   5.4405820312e+03
  3.0500000000e-01   5.3022421875e+03
  3.1000000000e-01   5.1875390625e+03
  3.1500000000e-01   5.0868945312e+03
  3.2000000000e-01   4.9913515625e+03
  3.2500000000e-01   4.8945390625e+03
  3.3000000000e-01   4.7943437500e+03
  3.3500000000e-01   4.6931289062e+03
  3.4000000000e-01   4.5970703125e+03
  3.4500000000e-01   4.5144843750e+03
  3.5000000000e-01   4.4539062500e+03
  3.5500000000e-01   4.4221054688e+03
  3.6000000000e-01   4.4225683594e+03
  3.6500000000e-01   4.4547968750e+03
  3.7000000000e-01   4.5142167969e+03
  3.7500000000e-01   4.5928320312e+03
  3.8000000000e-01   4.6803828125e+03
  3.8500000000e-01   4.7656835938e+03
  3.9000000000e-01   4.8380703125e+03
  3.9500000000e-01   4.8886250000e+03
  4.0000000000e-01   4.9113085938e+03
  4.0500000000e-01   4.9034921875e+03
  4.1000000000e-01   4.8662734375e+03
  4.1500000000e-01   4.8040117188e+03
  4.2000000000e-01   4.7237148438e+03
  4.2500000000e-01   4.6336093750e+03
  4.3000000000e-01   4.5419843750e+03
  4.3500000000e-01   4.4557636719e+03
  4.4000000000e-01   4.3794628906e+03
  4.4500000000e-01   4.3147968750e+03
  4.5000000000e-01   4.2607343750e+03
  4.5500000000e-01   4.2141289062e+03
  4.6000000000e-01   4.1708750000e+03
  4.6500000000e-01   4.1269765625e+03
  4.7000000000e-01   4.0795195312e+03
  4.7500000000e-01   4.0272343750e+03
  4.8000000000e-01   3.9705253906e+03
  4.8500000000e-01   3.9110585938e+03
  4.9000000000e-01   3.8511152344e+03
  4.9500000000e-01   3.7928457031e+03
  5.0000000000e-01   3.7377382812e+03
