# robin saxs scatter per-frame SAXS profile
# topology: pnt_STARLING.pdb
# trajectory: pnt_STARLING.xtc
# frame: 561 (original trajectory frame 561)
# selection: not element H
# c1=1.0  c2=2.0
# q (Å⁻¹)          I(q)
  5.0000000000e-03   6.7724650000e+05
  1.0000000000e-02   6.3392800000e+05
  1.5000000000e-02   5.6908100000e+05
  2.0000000000e-02   4.9184625000e+05
  2.5000000000e-02   4.1184750000e+05
  3.0000000000e-02   3.3719750000e+05
  3.5000000000e-02   2.7313325000e+05
  4.0000000000e-02   2.2161662500e+05
  4.5000000000e-02   1.8183350000e+05
  5.0000000000e-02   1.5131731250e+05
  5.5000000000e-02   1.2721693750e+05
  6.0000000000e-02   1.0729568750e+05
  6.5000000000e-02   9.0395312500e+04
  7.0000000000e-02   7.6333656250e+04
  7.5000000000e-02   6.5423000000e+04
  8.0000000000e-02   5.7892343750e+04
  8.5000000000e-02   5.3479500000e+04
  9.0000000000e-02   5.1336250000e+04
  9.5000000000e-02   5.0244437500e+04
  1.0000000000e-01   4.9000062500e+04
  1.0500000000e-01   4.6781250000e+04
  1.1000000000e-01   4.3345906250e+04
  1.1500000000e-01   3.8997093750e+04
  1.2000000000e-01   3.4360218750e+04
  1.2500000000e-01   3.0082812500e+04
  1.3000000000e-01   2.6589718750e+04
  1.3500000000e-01   2.3973125000e+04
  1.4000000000e-01   2.2039734375e+04
  1.4500000000e-01   2.0464140625e+04
  1.5000000000e-01   1.8961078125e+04
  1.5500000000e-01   1.7403468750e+04
  1.6000000000e-01   1.5843398438e+04
  1.6500000000e-01   1.4445375000e+04
  1.7000000000e-01   1.3377335938e+04
  1.7500000000e-01   1.2716695312e+04
  1.8000000000e-01   1.2410570312e+04
  1.8500000000e-01   1.2301875000e+04
  1.9000000000e-01   1.2200390625e+04
  1.9500000000e-01   1.1961250000e+04
  2.0000000000e-01   1.1535281250e+04
  2.0500000000e-01   1.0973656250e+04
  2.1000000000e-01   1.0389171875e+04
  2.1500000000e-01   9.8986484375e+03
  2.2000000000e-01   9.5709921875e+03
  2.2500000000e-01   9.4037968750e+03
  2.3000000000e-01   9.3323984375e+03
  2.3500000000e-01   9.2644218750e+03
  2.4000000000e-01   9.1204179688e+03
  2.4500000000e-01   8.8636406250e+03
  2.5000000000e-01   8.5080312500e+03
  2.5500000000e-01   8.1051875000e+03
  2.6000000000e-01   7.7182539062e+03
  2.6500000000e-01   7.3960546875e+03
  2.7000000000e-01   7.1576992188e+03
  2.7500000000e-01   6.9920703125e+03
  2.8000000000e-01   6.8695585938e+03
  2.8500000000e-01   6.7588867188e+03
  2.9000000000e-01   6.6412734375e+03
  2.9500000000e-01   6.5158710938e+03
  3.0000000000e-01   6.3962187500e+03
  3.0500000000e-01   6.3004140625e+03
  3.1000000000e-01   6.2406914062e+03
  3.1500000000e-01   6.2169101562e+03
  3.2000000000e-01   6.2165976562e+03
  3.2500000000e-01   6.2203476562e+03
  3.3000000000e-01   6.2097656250e+03
  3.3500000000e-01   6.1739023438e+03
  3.4000000000e-01   6.1117539062e+03
  3.4500000000e-01   6.0301523438e+03
  3.5000000000e-01   5.9390429688e+03
  3.5500000000e-01   5.8464257812e+03
  3.6000000000e-01   5.7553984375e+03
  3.6500000000e-01   5.6646757812e+03
  3.7000000000e-01   5.5711601562e+03
  3.7500000000e-01   5.4734414062e+03
  3.8000000000e-01   5.3740117188e+03
  3.8500000000e-01   5.2786992188e+03
  3.9000000000e-01   5.1943007812e+03
  3.9500000000e-01   5.1250468750e+03
  4.0000000000e-01   5.0701914062e+03
  4.0500000000e-01   5.0237187500e+03
  4.1000000000e-01   4.9764140625e+03
  4.1500000000e-01   4.9193554688e+03
  4.2000000000e-01   4.8473339844e+03
  4.2500000000e-01   4.7607304688e+03
  4.3000000000e-01   4.6653808594e+03
  4.3500000000e-01   4.5703261719e+03
  4.4000000000e-01   4.4849414062e+03
  4.4500000000e-01   4.4164531250e+03
  4.5000000000e-01   4.3684140625e+03
  4.5500000000e-01   4.3406914062e+03
  4.6000000000e-01   4.3303671875e+03
  4.6500000000e-01   4.3330000000e+03
  4.7000000000e-01   4.3435214844e+03
  4.7500000000e-01   4.3569101562e+03
  4.8000000000e-01   4.3683007812e+03
  4.8500000000e-01   4.3733203125e+03
  4.9000000000e-01   4.3683945312e+03
  4.9500000000e-01   4.3510976562e+03
  5.0000000000e-01   4.3205566406e+03
