# robin saxs scatter per-frame SAXS profile
# topology: pnt_STARLING.pdb
# trajectory: pnt_STARLING.xtc
# frame: 572 (original trajectory frame 572)
# selection: not element H
# c1=1.0  c2=2.0
# q (Å⁻¹)          I(q)
  5.0000000000e-03   7.1358700000e+05
  1.0000000000e-02   6.6332450000e+05
  1.5000000000e-02   5.8698450000e+05
  2.0000000000e-02   4.9425800000e+05
  2.5000000000e-02   3.9612950000e+05
  3.0000000000e-02   3.0299537500e+05
  3.5000000000e-02   2.2304800000e+05
  4.0000000000e-02   1.6123250000e+05
  4.5000000000e-02   1.1893393750e+05
  5.0000000000e-02   9.4375250000e+04
  5.5000000000e-02   8.3547750000e+04
  6.0000000000e-02   8.1405625000e+04
  6.5000000000e-02   8.3029750000e+04
  7.0000000000e-02   8.4518750000e+04
  7.5000000000e-02   8.3470750000e+04
  8.0000000000e-02   7.9034125000e+04
  8.5000000000e-02   7.1619656250e+04
  9.0000000000e-02   6.2406343750e+04
  9.5000000000e-02   5.2819375000e+04
  1.0000000000e-01   4.4098625000e+04
  1.0500000000e-01   3.7039875000e+04
  1.1000000000e-01   3.1922640625e+04
  1.1500000000e-01   2.8585593750e+04
  1.2000000000e-01   2.6588234375e+04
  1.2500000000e-01   2.5391296875e+04
  1.3000000000e-01   2.4504250000e+04
  1.3500000000e-01   2.3574671875e+04
  1.4000000000e-01   2.2416984375e+04
  1.4500000000e-01   2.0994218750e+04
  1.5000000000e-01   1.9375359375e+04
  1.5500000000e-01   1.7685867188e+04
  1.6000000000e-01   1.6064898438e+04
  1.6500000000e-01   1.4635203125e+04
  1.7000000000e-01   1.3484039062e+04
  1.7500000000e-01   1.2654375000e+04
  1.8000000000e-01   1.2143179688e+04
  1.8500000000e-01   1.1906085938e+04
  1.9000000000e-01   1.1867585938e+04
  1.9500000000e-01   1.1934906250e+04
  2.0000000000e-01   1.2014750000e+04
  2.0500000000e-01   1.2028609375e+04
  2.1000000000e-01   1.1924203125e+04
  2.1500000000e-01   1.1680406250e+04
  2.2000000000e-01   1.1305500000e+04
  2.2500000000e-01   1.0829921875e+04
  2.3000000000e-01   1.0296179688e+04
  2.3500000000e-01   9.7492304688e+03
  2.4000000000e-01   9.2289375000e+03
  2.4500000000e-01   8.7663437500e+03
  2.5000000000e-01   8.3822500000e+03
  2.5500000000e-01   8.0883281250e+03
  2.6000000000e-01   7.8877226562e+03
  2.6500000000e-01   7.7761718750e+03
  2.7000000000e-01   7.7420625000e+03
  2.7500000000e-01   7.7672812500e+03
  2.8000000000e-01   7.8285039062e+03
  2.8500000000e-01   7.9001562500e+03
  2.9000000000e-01   7.9580937500e+03
  2.9500000000e-01   7.9836914062e+03
  3.0000000000e-01   7.9668632812e+03
  3.0500000000e-01   7.9070117188e+03
  3.1000000000e-01   7.8118085938e+03
  3.1500000000e-01   7.6936250000e+03
  3.2000000000e-01   7.5647500000e+03
  3.2500000000e-01   7.4332500000e+03
  3.3000000000e-01   7.3003476562e+03
  3.3500000000e-01   7.1601210938e+03
  3.4000000000e-01   7.0024648438e+03
  3.4500000000e-01   6.8175742188e+03
  3.5000000000e-01   6.6010859375e+03
  3.5500000000e-01   6.3580859375e+03
  3.6000000000e-01   6.1041875000e+03
  3.6500000000e-01   5.8633085938e+03
  3.7000000000e-01   5.6620429688e+03
  3.7500000000e-01   5.5221718750e+03
  3.8000000000e-01   5.4537421875e+03
  3.8500000000e-01   5.4505898438e+03
  3.9000000000e-01   5.4901210938e+03
  3.9500000000e-01   5.5382929688e+03
  4.0000000000e-01   5.5582265625e+03
  4.0500000000e-01   5.5203671875e+03
  4.1000000000e-01   5.4112773438e+03
  4.1500000000e-01   5.2379453125e+03
  4.2000000000e-01   5.0265742188e+03
  4.2500000000e-01   4.8152324219e+03
  4.3000000000e-01   4.6433398438e+03
  4.3500000000e-01   4.5400683594e+03
  4.4000000000e-01   4.5161367188e+03
  4.4500000000e-01   4.5607304688e+03
  4.5000000000e-01   4.6448398438e+03
  4.5500000000e-01   4.7299355469e+03
  4.6000000000e-01   4.7789960938e+03
  4.6500000000e-01   4.7668496094e+03
  4.7000000000e-01   4.6864550781e+03
  4.7500000000e-01   4.5497792969e+03
  4.8000000000e-01   4.3831035156e+03
  4.8500000000e-01   4.2186601562e+03
  4.9000000000e-01   4.0852656250e+03
  4.9500000000e-01   4.0007929688e+03
  5.0000000000e-01   3.9684042969e+03
