# robin saxs scatter per-frame SAXS profile
# topology: pnt_STARLING.pdb
# trajectory: pnt_STARLING.xtc
# frame: 383 (original trajectory frame 383)
# selection: not element H
# c1=1.0  c2=2.0
# q (Å⁻¹)          I(q)
  5.0000000000e-03   6.6509050000e+05
  1.0000000000e-02   6.0691300000e+05
  1.5000000000e-02   5.2519625000e+05
  2.0000000000e-02   4.3689425000e+05
  2.5000000000e-02   3.5667100000e+05
  3.0000000000e-02   2.9286937500e+05
  3.5000000000e-02   2.4656125000e+05
  4.0000000000e-02   2.1355562500e+05
  4.5000000000e-02   1.8785987500e+05
  5.0000000000e-02   1.6480337500e+05
  5.5000000000e-02   1.4247937500e+05
  6.0000000000e-02   1.2136631250e+05
  6.5000000000e-02   1.0288906250e+05
  7.0000000000e-02   8.8009937500e+04
  7.5000000000e-02   7.6610187500e+04
  8.0000000000e-02   6.7756375000e+04
  8.5000000000e-02   6.0400343750e+04
  9.0000000000e-02   5.3942812500e+04
  9.5000000000e-02   4.8338437500e+04
  1.0000000000e-01   4.3804875000e+04
  1.0500000000e-01   4.0442000000e+04
  1.1000000000e-01   3.8042187500e+04
  1.1500000000e-01   3.6174437500e+04
  1.2000000000e-01   3.4415765625e+04
  1.2500000000e-01   3.2535515625e+04
  1.3000000000e-01   3.0522015625e+04
  1.3500000000e-01   2.8476156250e+04
  1.4000000000e-01   2.6484046875e+04
  1.4500000000e-01   2.4564421875e+04
  1.5000000000e-01   2.2699578125e+04
  1.5500000000e-01   2.0894000000e+04
  1.6000000000e-01   1.9193359375e+04
  1.6500000000e-01   1.7652437500e+04
  1.7000000000e-01   1.6288179688e+04
  1.7500000000e-01   1.5068296875e+04
  1.8000000000e-01   1.3948054688e+04
  1.8500000000e-01   1.2923781250e+04
  1.9000000000e-01   1.2051406250e+04
  1.9500000000e-01   1.1408914062e+04
  2.0000000000e-01   1.1028218750e+04
  2.0500000000e-01   1.0847835938e+04
  2.1000000000e-01   1.0726992188e+04
  2.1500000000e-01   1.0516218750e+04
  2.2000000000e-01   1.0138015625e+04
  2.2500000000e-01   9.6248125000e+03
  2.3000000000e-01   9.0910468750e+03
  2.3500000000e-01   8.6601171875e+03
  2.4000000000e-01   8.3931250000e+03
  2.4500000000e-01   8.2627421875e+03
  2.5000000000e-01   8.1795859375e+03
  2.5500000000e-01   8.0496015625e+03
  2.6000000000e-01   7.8241054688e+03
  2.6500000000e-01   7.5163984375e+03
  2.7000000000e-01   7.1829335938e+03
  2.7500000000e-01   6.8867187500e+03
  2.8000000000e-01   6.6654882812e+03
  2.8500000000e-01   6.5194882812e+03
  2.9000000000e-01   6.4188593750e+03
  2.9500000000e-01   6.3225156250e+03
  3.0000000000e-01   6.1981875000e+03
  3.0500000000e-01   6.0352773438e+03
  3.1000000000e-01   5.8477890625e+03
  3.1500000000e-01   5.6674726562e+03
  3.2000000000e-01   5.5298515625e+03
  3.2500000000e-01   5.4589687500e+03
  3.3000000000e-01   5.4573085938e+03
  3.3500000000e-01   5.5051601562e+03
  3.4000000000e-01   5.5697812500e+03
  3.4500000000e-01   5.6192500000e+03
  3.5000000000e-01   5.6342187500e+03
  3.5500000000e-01   5.6118750000e+03
  3.6000000000e-01   5.5620156250e+03
  3.6500000000e-01   5.4993828125e+03
  3.7000000000e-01   5.4365898438e+03
  3.7500000000e-01   5.3810234375e+03
  3.8000000000e-01   5.3349179688e+03
  3.8500000000e-01   5.2966679688e+03
  3.9000000000e-01   5.2617695312e+03
  3.9500000000e-01   5.2237890625e+03
  4.0000000000e-01   5.1759960938e+03
  4.0500000000e-01   5.1136640625e+03
  4.1000000000e-01   5.0357187500e+03
  4.1500000000e-01   4.9447031250e+03
  4.2000000000e-01   4.8448984375e+03
  4.2500000000e-01   4.7402265625e+03
  4.3000000000e-01   4.6340898438e+03
  4.3500000000e-01   4.5304062500e+03
  4.4000000000e-01   4.4346367188e+03
  4.4500000000e-01   4.3528457031e+03
  4.5000000000e-01   4.2881542969e+03
  4.5500000000e-01   4.2380078125e+03
  4.6000000000e-01   4.1946367188e+03
  4.6500000000e-01   4.1498964844e+03
  4.7000000000e-01   4.1010898438e+03
  4.7500000000e-01   4.0531718750e+03
  4.8000000000e-01   4.0147167969e+03
  4.8500000000e-01   3.9897187500e+03
  4.9000000000e-01   3.9714648438e+03
  4.9500000000e-01   3.9439921875e+03
  5.0000000000e-01   3.8914843750e+03
