# robin saxs scatter per-frame SAXS profile
# topology: pnt_STARLING.pdb
# trajectory: pnt_STARLING.xtc
# frame: 213 (original trajectory frame 213)
# selection: not element H
# c1=1.0  c2=2.0
# q (Å⁻¹)          I(q)
  5.0000000000e-03   7.1681300000e+05
  1.0000000000e-02   6.1864050000e+05
  1.5000000000e-02   4.8824250000e+05
  2.0000000000e-02   3.6034300000e+05
  2.5000000000e-02   2.6131425000e+05
  3.0000000000e-02   2.0090312500e+05
  3.5000000000e-02   1.7255850000e+05
  4.0000000000e-02   1.6080675000e+05
  4.5000000000e-02   1.5079781250e+05
  5.0000000000e-02   1.3488868750e+05
  5.5000000000e-02   1.1370693750e+05
  6.0000000000e-02   9.2603312500e+04
  6.5000000000e-02   7.6673000000e+04
  7.0000000000e-02   6.7516343750e+04
  7.5000000000e-02   6.3095156250e+04
  8.0000000000e-02   5.9869843750e+04
  8.5000000000e-02   5.5279250000e+04
  9.0000000000e-02   4.8930000000e+04
  9.5000000000e-02   4.2118750000e+04
  1.0000000000e-01   3.6451390625e+04
  1.0500000000e-01   3.2685234375e+04
  1.1000000000e-01   3.0461968750e+04
  1.1500000000e-01   2.8843421875e+04
  1.2000000000e-01   2.7063359375e+04
  1.2500000000e-01   2.4940234375e+04
  1.3000000000e-01   2.2785234375e+04
  1.3500000000e-01   2.1015265625e+04
  1.4000000000e-01   1.9819765625e+04
  1.4500000000e-01   1.9083796875e+04
  1.5000000000e-01   1.8538468750e+04
  1.5500000000e-01   1.7967695312e+04
  1.6000000000e-01   1.7317054688e+04
  1.6500000000e-01   1.6663812500e+04
  1.7000000000e-01   1.6110984375e+04
  1.7500000000e-01   1.5697820312e+04
  1.8000000000e-01   1.5379054688e+04
  1.8500000000e-01   1.5066390625e+04
  1.9000000000e-01   1.4691375000e+04
  1.9500000000e-01   1.4245898438e+04
  2.0000000000e-01   1.3780390625e+04
  2.0500000000e-01   1.3366382812e+04
  2.1000000000e-01   1.3048390625e+04
  2.1500000000e-01   1.2816960938e+04
  2.2000000000e-01   1.2617992188e+04
  2.2500000000e-01   1.2392148438e+04
  2.3000000000e-01   1.2116250000e+04
  2.3500000000e-01   1.1816500000e+04
  2.4000000000e-01   1.1542906250e+04
  2.4500000000e-01   1.1325289062e+04
  2.5000000000e-01   1.1143687500e+04
  2.5500000000e-01   1.0936945312e+04
  2.6000000000e-01   1.0642945312e+04
  2.6500000000e-01   1.0239515625e+04
  2.7000000000e-01   9.7574257812e+03
  2.7500000000e-01   9.2588710938e+03
  2.8000000000e-01   8.8017929688e+03
  2.8500000000e-01   8.4161757812e+03
  2.9000000000e-01   8.1049023438e+03
  2.9500000000e-01   7.8578437500e+03
  3.0000000000e-01   7.6624140625e+03
  3.0500000000e-01   7.5027500000e+03
  3.1000000000e-01   7.3564921875e+03
  3.1500000000e-01   7.2012382812e+03
  3.2000000000e-01   7.0306367188e+03
  3.2500000000e-01   6.8649023438e+03
  3.3000000000e-01   6.7403125000e+03
  3.3500000000e-01   6.6793671875e+03
  3.4000000000e-01   6.6640664062e+03
  3.4500000000e-01   6.6371054688e+03
  3.5000000000e-01   6.5358359375e+03
  3.5500000000e-01   6.3358125000e+03
  3.6000000000e-01   6.0700546875e+03
  3.6500000000e-01   5.8075937500e+03
  3.7000000000e-01   5.6067226562e+03
  3.7500000000e-01   5.4788515625e+03
  3.8000000000e-01   5.3900312500e+03
  3.8500000000e-01   5.2956171875e+03
  3.9000000000e-01   5.1780937500e+03
  3.9500000000e-01   5.0567675781e+03
  4.0000000000e-01   4.9645195312e+03
  4.0500000000e-01   4.9144414062e+03
  4.1000000000e-01   4.8871757812e+03
  4.1500000000e-01   4.8490683594e+03
  4.2000000000e-01   4.7837148438e+03
  4.2500000000e-01   4.7072304688e+03
  4.3000000000e-01   4.6533515625e+03
  4.3500000000e-01   4.6409687500e+03
  4.4000000000e-01   4.6537988281e+03
  4.4500000000e-01   4.6512207031e+03
  4.5000000000e-01   4.6020332031e+03
  4.5500000000e-01   4.5129375000e+03
  4.6000000000e-01   4.4266445312e+03
  4.6500000000e-01   4.3900683594e+03
  4.7000000000e-01   4.4174453125e+03
  4.7500000000e-01   4.4780585938e+03
  4.8000000000e-01   4.5176406250e+03
  4.8500000000e-01   4.4965234375e+03
  4.9000000000e-01   4.4151367188e+03
  4.9500000000e-01   4.3087890625e+03
  5.0000000000e-01   4.2189609375e+03
