# robin saxs scatter per-frame SAXS profile
# topology: pnt_STARLING.pdb
# trajectory: pnt_STARLING.xtc
# frame: 348 (original trajectory frame 348)
# selection: not element H
# c1=1.0  c2=2.0
# q (Å⁻¹)          I(q)
  5.0000000000e-03   6.8767350000e+05
  1.0000000000e-02   6.5847350000e+05
  1.5000000000e-02   6.1304325000e+05
  2.0000000000e-02   5.5565700000e+05
  2.5000000000e-02   4.9126550000e+05
  3.0000000000e-02   4.2477325000e+05
  3.5000000000e-02   3.6039375000e+05
  4.0000000000e-02   3.0123400000e+05
  4.5000000000e-02   2.4914625000e+05
  5.0000000000e-02   2.0481500000e+05
  5.5000000000e-02   1.6802612500e+05
  6.0000000000e-02   1.3800500000e+05
  6.5000000000e-02   1.1373725000e+05
  7.0000000000e-02   9.4209937500e+04
  7.5000000000e-02   7.8544687500e+04
  8.0000000000e-02   6.6035156250e+04
  8.5000000000e-02   5.6125656250e+04
  9.0000000000e-02   4.8359968750e+04
  9.5000000000e-02   4.2339218750e+04
  1.0000000000e-01   3.7698296875e+04
  1.0500000000e-01   3.4103500000e+04
  1.1000000000e-01   3.1262031250e+04
  1.1500000000e-01   2.8932671875e+04
  1.2000000000e-01   2.6930656250e+04
  1.2500000000e-01   2.5125453125e+04
  1.3000000000e-01   2.3433062500e+04
  1.3500000000e-01   2.1807312500e+04
  1.4000000000e-01   2.0232328125e+04
  1.4500000000e-01   1.8717218750e+04
  1.5000000000e-01   1.7289648438e+04
  1.5500000000e-01   1.5988046875e+04
  1.6000000000e-01   1.4851140625e+04
  1.6500000000e-01   1.3906585938e+04
  1.7000000000e-01   1.3162773438e+04
  1.7500000000e-01   1.2604500000e+04
  1.8000000000e-01   1.2195937500e+04
  1.8500000000e-01   1.1888085938e+04
  1.9000000000e-01   1.1629648438e+04
  1.9500000000e-01   1.1376695312e+04
  2.0000000000e-01   1.1099148438e+04
  2.0500000000e-01   1.0783234375e+04
  2.1000000000e-01   1.0429296875e+04
  2.1500000000e-01   1.0048234375e+04
  2.2000000000e-01   9.6564765625e+03
  2.2500000000e-01   9.2719257812e+03
  2.3000000000e-01   8.9102304688e+03
  2.3500000000e-01   8.5824765625e+03
  2.4000000000e-01   8.2930273438e+03
  2.4500000000e-01   8.0389296875e+03
  2.5000000000e-01   7.8102031250e+03
  2.5500000000e-01   7.5925507812e+03
  2.6000000000e-01   7.3710351562e+03
  2.6500000000e-01   7.1346953125e+03
  2.7000000000e-01   6.8803164062e+03
  2.7500000000e-01   6.6138125000e+03
  2.8000000000e-01   6.3489453125e+03
  2.8500000000e-01   6.1032265625e+03
  2.9000000000e-01   5.8927734375e+03
  2.9500000000e-01   5.7275742188e+03
  3.0000000000e-01   5.6090468750e+03
  3.0500000000e-01   5.5303125000e+03
  3.1000000000e-01   5.4789531250e+03
  3.1500000000e-01   5.4414765625e+03
  3.2000000000e-01   5.4068593750e+03
  3.2500000000e-01   5.3693750000e+03
  3.3000000000e-01   5.3287500000e+03
  3.3500000000e-01   5.2891015625e+03
  3.4000000000e-01   5.2567968750e+03
  3.4500000000e-01   5.2380976562e+03
  3.5000000000e-01   5.2377070312e+03
  3.5500000000e-01   5.2577109375e+03
  3.6000000000e-01   5.2972500000e+03
  3.6500000000e-01   5.3526406250e+03
  3.7000000000e-01   5.4173437500e+03
  3.7500000000e-01   5.4824492188e+03
  3.8000000000e-01   5.5376328125e+03
  3.8500000000e-01   5.5724179688e+03
  3.9000000000e-01   5.5782500000e+03
  3.9500000000e-01   5.5503046875e+03
  4.0000000000e-01   5.4890468750e+03
  4.0500000000e-01   5.4005195312e+03
  4.1000000000e-01   5.2953554688e+03
  4.1500000000e-01   5.1864687500e+03
  4.2000000000e-01   5.0862500000e+03
  4.2500000000e-01   5.0036132812e+03
  4.3000000000e-01   4.9421914062e+03
  4.3500000000e-01   4.8996093750e+03
  4.4000000000e-01   4.8683691406e+03
  4.4500000000e-01   4.8381484375e+03
  4.5000000000e-01   4.7983281250e+03
  4.5500000000e-01   4.7409667969e+03
  4.6000000000e-01   4.6626679688e+03
  4.6500000000e-01   4.5655234375e+03
  4.7000000000e-01   4.4565273438e+03
  4.7500000000e-01   4.3458281250e+03
  4.8000000000e-01   4.2443144531e+03
  4.8500000000e-01   4.1608496094e+03
  4.9000000000e-01   4.1005703125e+03
  4.9500000000e-01   4.0638691406e+03
  5.0000000000e-01   4.0470253906e+03
