# robin saxs scatter per-frame SAXS profile
# topology: pnt_STARLING.pdb
# trajectory: pnt_STARLING.xtc
# frame: 366 (original trajectory frame 366)
# selection: not element H
# c1=1.0  c2=2.0
# q (Å⁻¹)          I(q)
  5.0000000000e-03   6.4722900000e+05
  1.0000000000e-02   6.0121675000e+05
  1.5000000000e-02   5.3201300000e+05
  2.0000000000e-02   4.4908825000e+05
  2.5000000000e-02   3.6275725000e+05
  3.0000000000e-02   2.8217200000e+05
  3.5000000000e-02   2.1386162500e+05
  4.0000000000e-02   1.6102487500e+05
  4.5000000000e-02   1.2369937500e+05
  5.0000000000e-02   9.9561562500e+04
  5.5000000000e-02   8.5064312500e+04
  6.0000000000e-02   7.6528937500e+04
  6.5000000000e-02   7.0941593750e+04
  7.0000000000e-02   6.6321500000e+04
  7.5000000000e-02   6.1707062500e+04
  8.0000000000e-02   5.6886968750e+04
  8.5000000000e-02   5.2050062500e+04
  9.0000000000e-02   4.7482468750e+04
  9.5000000000e-02   4.3389093750e+04
  1.0000000000e-01   3.9835531250e+04
  1.0500000000e-01   3.6774109375e+04
  1.1000000000e-01   3.4100906250e+04
  1.1500000000e-01   3.1705484375e+04
  1.2000000000e-01   2.9499968750e+04
  1.2500000000e-01   2.7427125000e+04
  1.3000000000e-01   2.5460234375e+04
  1.3500000000e-01   2.3599046875e+04
  1.4000000000e-01   2.1866046875e+04
  1.4500000000e-01   2.0297421875e+04
  1.5000000000e-01   1.8929781250e+04
  1.5500000000e-01   1.7783453125e+04
  1.6000000000e-01   1.6850289062e+04
  1.6500000000e-01   1.6090664062e+04
  1.7000000000e-01   1.5443726562e+04
  1.7500000000e-01   1.4845578125e+04
  1.8000000000e-01   1.4247203125e+04
  1.8500000000e-01   1.3626710938e+04
  1.9000000000e-01   1.2987953125e+04
  1.9500000000e-01   1.2352039062e+04
  2.0000000000e-01   1.1743210938e+04
  2.0500000000e-01   1.1178960938e+04
  2.1000000000e-01   1.0666117188e+04
  2.1500000000e-01   1.0204210938e+04
  2.2000000000e-01   9.7911640625e+03
  2.2500000000e-01   9.4276640625e+03
  2.3000000000e-01   9.1173828125e+03
  2.3500000000e-01   8.8631953125e+03
  2.4000000000e-01   8.6625390625e+03
  2.4500000000e-01   8.5045039062e+03
  2.5000000000e-01   8.3711953125e+03
  2.5500000000e-01   8.2418046875e+03
  2.6000000000e-01   8.0982851562e+03
  2.6500000000e-01   7.9296093750e+03
  2.7000000000e-01   7.7335156250e+03
  2.7500000000e-01   7.5156992188e+03
  2.8000000000e-01   7.2880429688e+03
  2.8500000000e-01   7.0655273438e+03
  2.9000000000e-01   6.8645078125e+03
  2.9500000000e-01   6.6994453125e+03
  3.0000000000e-01   6.5799218750e+03
  3.0500000000e-01   6.5068828125e+03
  3.1000000000e-01   6.4700039062e+03
  3.1500000000e-01   6.4482265625e+03
  3.2000000000e-01   6.4137929688e+03
  3.2500000000e-01   6.3401367188e+03
  3.3000000000e-01   6.2107929688e+03
  3.3500000000e-01   6.0259335938e+03
  3.4000000000e-01   5.8039414062e+03
  3.4500000000e-01   5.5765976562e+03
  3.5000000000e-01   5.3793281250e+03
  3.5500000000e-01   5.2402812500e+03
  3.6000000000e-01   5.1715937500e+03
  3.6500000000e-01   5.1668125000e+03
  3.7000000000e-01   5.2039218750e+03
  3.7500000000e-01   5.2536171875e+03
  3.8000000000e-01   5.2887539062e+03
  3.8500000000e-01   5.2919492188e+03
  3.9000000000e-01   5.2591445312e+03
  3.9500000000e-01   5.1983789062e+03
  4.0000000000e-01   5.1253867188e+03
  4.0500000000e-01   5.0573476562e+03
  4.1000000000e-01   5.0074179688e+03
  4.1500000000e-01   4.9815078125e+03
  4.2000000000e-01   4.9771914062e+03
  4.2500000000e-01   4.9852500000e+03
  4.3000000000e-01   4.9925234375e+03
  4.3500000000e-01   4.9853359375e+03
  4.4000000000e-01   4.9528710938e+03
  4.4500000000e-01   4.8894726562e+03
  4.5000000000e-01   4.7958593750e+03
  4.5500000000e-01   4.6788320312e+03
  4.6000000000e-01   4.5497500000e+03
  4.6500000000e-01   4.4221210938e+03
  4.7000000000e-01   4.3086679688e+03
  4.7500000000e-01   4.2189765625e+03
  4.8000000000e-01   4.1576406250e+03
  4.8500000000e-01   4.1236835938e+03
  4.9000000000e-01   4.1111972656e+03
  4.9500000000e-01   4.1109179688e+03
  5.0000000000e-01   4.1125019531e+03
