# robin saxs scatter per-frame SAXS profile
# topology: pnt_STARLING.pdb
# trajectory: pnt_STARLING.xtc
# frame: 61 (original trajectory frame 61)
# selection: not element H
# c1=1.0  c2=2.0
# q (Å⁻¹)          I(q)
  5.0000000000e-03   7.6217300000e+05
  1.0000000000e-02   6.9184500000e+05
  1.5000000000e-02   5.9084775000e+05
  2.0000000000e-02   4.7821550000e+05
  2.5000000000e-02   3.7213175000e+05
  3.0000000000e-02   2.8533637500e+05
  3.5000000000e-02   2.2291075000e+05
  4.0000000000e-02   1.8284487500e+05
  4.5000000000e-02   1.5868050000e+05
  5.0000000000e-02   1.4288112500e+05
  5.5000000000e-02   1.2955700000e+05
  6.0000000000e-02   1.1572712500e+05
  6.5000000000e-02   1.0106462500e+05
  7.0000000000e-02   8.6716312500e+04
  7.5000000000e-02   7.3995062500e+04
  8.0000000000e-02   6.3558187500e+04
  8.5000000000e-02   5.5271656250e+04
  9.0000000000e-02   4.8564968750e+04
  9.5000000000e-02   4.2899281250e+04
  1.0000000000e-01   3.8039531250e+04
  1.0500000000e-01   3.4030593750e+04
  1.1000000000e-01   3.0984375000e+04
  1.1500000000e-01   2.8870718750e+04
  1.2000000000e-01   2.7454312500e+04
  1.2500000000e-01   2.6393703125e+04
  1.3000000000e-01   2.5408812500e+04
  1.3500000000e-01   2.4397234375e+04
  1.4000000000e-01   2.3428093750e+04
  1.4500000000e-01   2.2635375000e+04
  1.5000000000e-01   2.2086812500e+04
  1.5500000000e-01   2.1714531250e+04
  1.6000000000e-01   2.1339812500e+04
  1.6500000000e-01   2.0767000000e+04
  1.7000000000e-01   1.9883781250e+04
  1.7500000000e-01   1.8708976562e+04
  1.8000000000e-01   1.7370781250e+04
  1.8500000000e-01   1.6036250000e+04
  1.9000000000e-01   1.4837117188e+04
  1.9500000000e-01   1.3830226562e+04
  2.0000000000e-01   1.3002687500e+04
  2.0500000000e-01   1.2307796875e+04
  2.1000000000e-01   1.1703070312e+04
  2.1500000000e-01   1.1170101562e+04
  2.2000000000e-01   1.0710960938e+04
  2.2500000000e-01   1.0331265625e+04
  2.3000000000e-01   1.0025394531e+04
  2.3500000000e-01   9.7738164062e+03
  2.4000000000e-01   9.5522578125e+03
  2.4500000000e-01   9.3442890625e+03
  2.5000000000e-01   9.1487460938e+03
  2.5500000000e-01   8.9768281250e+03
  2.6000000000e-01   8.8421796875e+03
  2.6500000000e-01   8.7494257812e+03
  2.7000000000e-01   8.6886601562e+03
  2.7500000000e-01   8.6376367188e+03
  2.8000000000e-01   8.5700937500e+03
  2.8500000000e-01   8.4655703125e+03
  2.9000000000e-01   8.3161445312e+03
  2.9500000000e-01   8.1273203125e+03
  3.0000000000e-01   7.9138203125e+03
  3.0500000000e-01   7.6928203125e+03
  3.1000000000e-01   7.4772929688e+03
  3.1500000000e-01   7.2721171875e+03
  3.2000000000e-01   7.0741210938e+03
  3.2500000000e-01   6.8754765625e+03
  3.3000000000e-01   6.6690468750e+03
  3.3500000000e-01   6.4533125000e+03
  3.4000000000e-01   6.2348554688e+03
  3.4500000000e-01   6.0271601562e+03
  3.5000000000e-01   5.8463437500e+03
  3.5500000000e-01   5.7054140625e+03
  3.6000000000e-01   5.6095195312e+03
  3.6500000000e-01   5.5541289062e+03
  3.7000000000e-01   5.5269570312e+03
  3.7500000000e-01   5.5121640625e+03
  3.8000000000e-01   5.4953632812e+03
  3.8500000000e-01   5.4673359375e+03
  3.9000000000e-01   5.4253984375e+03
  3.9500000000e-01   5.3727929688e+03
  4.0000000000e-01   5.3168593750e+03
  4.0500000000e-01   5.2667656250e+03
  4.1000000000e-01   5.2310937500e+03
  4.1500000000e-01   5.2155703125e+03
  4.2000000000e-01   5.2211757812e+03
  4.2500000000e-01   5.2428242188e+03
  4.3000000000e-01   5.2699335938e+03
  4.3500000000e-01   5.2888281250e+03
  4.4000000000e-01   5.2867187500e+03
  4.4500000000e-01   5.2557109375e+03
  4.5000000000e-01   5.1951367188e+03
  4.5500000000e-01   5.1111992188e+03
  4.6000000000e-01   5.0141582031e+03
  4.6500000000e-01   4.9145742188e+03
  4.7000000000e-01   4.8201601562e+03
  4.7500000000e-01   4.7346093750e+03
  4.8000000000e-01   4.6582460938e+03
  4.8500000000e-01   4.5895976562e+03
  4.9000000000e-01   4.5268671875e+03
  4.9500000000e-01   4.4686210938e+03
  5.0000000000e-01   4.4140781250e+03
