# robin saxs scatter per-frame SAXS profile
# topology: pnt_STARLING.pdb
# trajectory: pnt_STARLING.xtc
# frame: 166 (original trajectory frame 166)
# selection: not element H
# c1=1.0  c2=2.0
# q (Å⁻¹)          I(q)
  5.0000000000e-03   7.7020550000e+05
  1.0000000000e-02   6.4200325000e+05
  1.5000000000e-02   4.8359525000e+05
  2.0000000000e-02   3.4269350000e+05
  2.5000000000e-02   2.4391762500e+05
  3.0000000000e-02   1.8615087500e+05
  3.5000000000e-02   1.5529306250e+05
  4.0000000000e-02   1.3793256250e+05
  4.5000000000e-02   1.2637606250e+05
  5.0000000000e-02   1.1667187500e+05
  5.5000000000e-02   1.0630675000e+05
  6.0000000000e-02   9.4489875000e+04
  6.5000000000e-02   8.2702906250e+04
  7.0000000000e-02   7.3127500000e+04
  7.5000000000e-02   6.6247375000e+04
  8.0000000000e-02   6.0508531250e+04
  8.5000000000e-02   5.4367156250e+04
  9.0000000000e-02   4.8081875000e+04
  9.5000000000e-02   4.3133093750e+04
  1.0000000000e-01   4.0212843750e+04
  1.0500000000e-01   3.8323843750e+04
  1.1000000000e-01   3.5913453125e+04
  1.1500000000e-01   3.2493546875e+04
  1.2000000000e-01   2.8914750000e+04
  1.2500000000e-01   2.6274265625e+04
  1.3000000000e-01   2.4878781250e+04
  1.3500000000e-01   2.4233234375e+04
  1.4000000000e-01   2.3681125000e+04
  1.4500000000e-01   2.2846468750e+04
  1.5000000000e-01   2.1643515625e+04
  1.5500000000e-01   2.0196898438e+04
  1.6000000000e-01   1.8853539062e+04
  1.6500000000e-01   1.8074195312e+04
  1.7000000000e-01   1.8088500000e+04
  1.7500000000e-01   1.8617335938e+04
  1.8000000000e-01   1.9020273438e+04
  1.8500000000e-01   1.8776804688e+04
  1.9000000000e-01   1.7836445312e+04
  1.9500000000e-01   1.6540054688e+04
  2.0000000000e-01   1.5280890625e+04
  2.0500000000e-01   1.4260164062e+04
  2.1000000000e-01   1.3479453125e+04
  2.1500000000e-01   1.2848000000e+04
  2.2000000000e-01   1.2263953125e+04
  2.2500000000e-01   1.1659359375e+04
  2.3000000000e-01   1.1036140625e+04
  2.3500000000e-01   1.0466179688e+04
  2.4000000000e-01   1.0025675781e+04
  2.4500000000e-01   9.7186640625e+03
  2.5000000000e-01   9.4753437500e+03
  2.5500000000e-01   9.2228046875e+03
  2.6000000000e-01   8.9403085938e+03
  2.6500000000e-01   8.6476015625e+03
  2.7000000000e-01   8.3668984375e+03
  2.7500000000e-01   8.1184570312e+03
  2.8000000000e-01   7.9348710938e+03
  2.8500000000e-01   7.8454453125e+03
  2.9000000000e-01   7.8349023438e+03
  2.9500000000e-01   7.8362656250e+03
  3.0000000000e-01   7.7808359375e+03
  3.0500000000e-01   7.6500390625e+03
  3.1000000000e-01   7.4736406250e+03
  3.1500000000e-01   7.2897343750e+03
  3.2000000000e-01   7.1250859375e+03
  3.2500000000e-01   7.0054140625e+03
  3.3000000000e-01   6.9536718750e+03
  3.3500000000e-01   6.9593046875e+03
  3.4000000000e-01   6.9648593750e+03
  3.4500000000e-01   6.9092851562e+03
  3.5000000000e-01   6.7886015625e+03
  3.5500000000e-01   6.6571796875e+03
  3.6000000000e-01   6.5621718750e+03
  3.6500000000e-01   6.4917812500e+03
  3.7000000000e-01   6.4010703125e+03
  3.7500000000e-01   6.2776289062e+03
  3.8000000000e-01   6.1580234375e+03
  3.8500000000e-01   6.0745039062e+03
  3.9000000000e-01   6.0068046875e+03
  3.9500000000e-01   5.9062031250e+03
  4.0000000000e-01   5.7624570312e+03
  4.0500000000e-01   5.6266992188e+03
  4.1000000000e-01   5.5600195312e+03
  4.1500000000e-01   5.5696914062e+03
  4.2000000000e-01   5.6062890625e+03
  4.2500000000e-01   5.6171796875e+03
  4.3000000000e-01   5.5908437500e+03
  4.3500000000e-01   5.5481250000e+03
  4.4000000000e-01   5.5049960938e+03
  4.4500000000e-01   5.4558398438e+03
  4.5000000000e-01   5.3887539062e+03
  4.5500000000e-01   5.3044238281e+03
  4.6000000000e-01   5.2147988281e+03
  4.6500000000e-01   5.1287402344e+03
  4.7000000000e-01   5.0468183594e+03
  4.7500000000e-01   4.9696660156e+03
  4.8000000000e-01   4.9054335938e+03
  4.8500000000e-01   4.8653281250e+03
  4.9000000000e-01   4.8519023438e+03
  4.9500000000e-01   4.8532753906e+03
  5.0000000000e-01   4.8481992188e+03
